date,price,unit,title
08/03/2023,3,%,Lai_suat_chiet_khau
08/02/2023,3,%,Lai_suat_chiet_khau
08/01/2023,3,%,Lai_suat_chiet_khau
07/31/2023,3,%,Lai_suat_chiet_khau
07/30/2023,3,%,Lai_suat_chiet_khau
07/27/2023,3,%,Lai_suat_chiet_khau
07/26/2023,3,%,Lai_suat_chiet_khau
07/25/2023,3,%,Lai_suat_chiet_khau
07/24/2023,3,%,Lai_suat_chiet_khau
07/23/2023,3,%,Lai_suat_chiet_khau
07/20/2023,3,%,Lai_suat_chiet_khau
07/19/2023,3,%,Lai_suat_chiet_khau
07/18/2023,3,%,Lai_suat_chiet_khau
07/17/2023,3,%,Lai_suat_chiet_khau
07/16/2023,3,%,Lai_suat_chiet_khau
07/13/2023,3,%,Lai_suat_chiet_khau
07/12/2023,3,%,Lai_suat_chiet_khau
07/11/2023,3,%,Lai_suat_chiet_khau
07/10/2023,3,%,Lai_suat_chiet_khau
07/09/2023,3,%,Lai_suat_chiet_khau
07/06/2023,3,%,Lai_suat_chiet_khau
07/05/2023,3,%,Lai_suat_chiet_khau
07/04/2023,3,%,Lai_suat_chiet_khau
07/03/2023,3,%,Lai_suat_chiet_khau
07/02/2023,3,%,Lai_suat_chiet_khau
06/29/2023,3,%,Lai_suat_chiet_khau
06/28/2023,3,%,Lai_suat_chiet_khau
06/27/2023,3,%,Lai_suat_chiet_khau
06/26/2023,3,%,Lai_suat_chiet_khau
06/25/2023,3,%,Lai_suat_chiet_khau
06/22/2023,3,%,Lai_suat_chiet_khau
06/21/2023,3,%,Lai_suat_chiet_khau
06/20/2023,3,%,Lai_suat_chiet_khau
06/19/2023,3,%,Lai_suat_chiet_khau
06/18/2023,3,%,Lai_suat_chiet_khau
06/15/2023,3.5,%,Lai_suat_chiet_khau
06/14/2023,3.5,%,Lai_suat_chiet_khau
06/13/2023,3.5,%,Lai_suat_chiet_khau
06/12/2023,3.5,%,Lai_suat_chiet_khau
06/11/2023,3.5,%,Lai_suat_chiet_khau
06/08/2023,3.5,%,Lai_suat_chiet_khau
06/07/2023,3.5,%,Lai_suat_chiet_khau
06/06/2023,3.5,%,Lai_suat_chiet_khau
06/05/2023,3.5,%,Lai_suat_chiet_khau
06/04/2023,3.5,%,Lai_suat_chiet_khau
06/01/2023,3.5,%,Lai_suat_chiet_khau
05/31/2023,3.5,%,Lai_suat_chiet_khau
05/30/2023,3.5,%,Lai_suat_chiet_khau
05/29/2023,3.5,%,Lai_suat_chiet_khau
05/28/2023,3.5,%,Lai_suat_chiet_khau
05/25/2023,3.5,%,Lai_suat_chiet_khau
05/24/2023,3.5,%,Lai_suat_chiet_khau
05/23/2023,3.5,%,Lai_suat_chiet_khau
05/22/2023,3.5,%,Lai_suat_chiet_khau
05/21/2023,3.5,%,Lai_suat_chiet_khau
05/18/2023,3.5,%,Lai_suat_chiet_khau
05/17/2023,3.5,%,Lai_suat_chiet_khau
05/16/2023,3.5,%,Lai_suat_chiet_khau
