date,price,unit,title
08/03/2023,4.5,%,Lai_suat_tai_cap_von
08/02/2023,4.5,%,Lai_suat_tai_cap_von
08/01/2023,4.5,%,Lai_suat_tai_cap_von
07/31/2023,4.5,%,Lai_suat_tai_cap_von
07/30/2023,4.5,%,Lai_suat_tai_cap_von
07/27/2023,4.5,%,Lai_suat_tai_cap_von
07/26/2023,4.5,%,Lai_suat_tai_cap_von
07/25/2023,4.5,%,Lai_suat_tai_cap_von
07/24/2023,4.5,%,Lai_suat_tai_cap_von
07/23/2023,4.5,%,Lai_suat_tai_cap_von
07/20/2023,4.5,%,Lai_suat_tai_cap_von
07/19/2023,4.5,%,Lai_suat_tai_cap_von
07/18/2023,4.5,%,Lai_suat_tai_cap_von
07/17/2023,4.5,%,Lai_suat_tai_cap_von
07/16/2023,4.5,%,Lai_suat_tai_cap_von
07/13/2023,4.5,%,Lai_suat_tai_cap_von
07/12/2023,4.5,%,Lai_suat_tai_cap_von
07/11/2023,4.5,%,Lai_suat_tai_cap_von
07/10/2023,4.5,%,Lai_suat_tai_cap_von
07/09/2023,4.5,%,Lai_suat_tai_cap_von
07/06/2023,4.5,%,Lai_suat_tai_cap_von
07/05/2023,4.5,%,Lai_suat_tai_cap_von
07/04/2023,4.5,%,Lai_suat_tai_cap_von
07/03/2023,4.5,%,Lai_suat_tai_cap_von
07/02/2023,4.5,%,Lai_suat_tai_cap_von
06/29/2023,4.5,%,Lai_suat_tai_cap_von
06/28/2023,4.5,%,Lai_suat_tai_cap_von
06/27/2023,4.5,%,Lai_suat_tai_cap_von
06/26/2023,4.5,%,Lai_suat_tai_cap_von
06/25/2023,4.5,%,Lai_suat_tai_cap_von
06/22/2023,4.5,%,Lai_suat_tai_cap_von
06/21/2023,4.5,%,Lai_suat_tai_cap_von
06/20/2023,4.5,%,Lai_suat_tai_cap_von
06/19/2023,4.5,%,Lai_suat_tai_cap_von
06/18/2023,4.5,%,Lai_suat_tai_cap_von
06/15/2023,5,%,Lai_suat_tai_cap_von
06/14/2023,5,%,Lai_suat_tai_cap_von
06/13/2023,5,%,Lai_suat_tai_cap_von
06/12/2023,5,%,Lai_suat_tai_cap_von
06/11/2023,5,%,Lai_suat_tai_cap_von
06/08/2023,5,%,Lai_suat_tai_cap_von
06/07/2023,5,%,Lai_suat_tai_cap_von
06/06/2023,5,%,Lai_suat_tai_cap_von
06/05/2023,5,%,Lai_suat_tai_cap_von
06/04/2023,5,%,Lai_suat_tai_cap_von
06/01/2023,5,%,Lai_suat_tai_cap_von
05/31/2023,5,%,Lai_suat_tai_cap_von
05/30/2023,5,%,Lai_suat_tai_cap_von
05/29/2023,5,%,Lai_suat_tai_cap_von
05/28/2023,5,%,Lai_suat_tai_cap_von
05/25/2023,5,%,Lai_suat_tai_cap_von
05/24/2023,5,%,Lai_suat_tai_cap_von
05/23/2023,5.5,%,Lai_suat_tai_cap_von
05/22/2023,5.5,%,Lai_suat_tai_cap_von
05/21/2023,5.5,%,Lai_suat_tai_cap_von
05/18/2023,5.5,%,Lai_suat_tai_cap_von
05/17/2023,5.5,%,Lai_suat_tai_cap_von
05/16/2023,5.5,%,Lai_suat_tai_cap_von
05/15/2023,5.5,%,Lai_suat_tai_cap_von
05/14/2023,5.5,%,Lai_suat_tai_cap_von
05/11/2023,5.5,%,Lai_suat_tai_cap_von
05/10/2023,5.5,%,Lai_suat_tai_cap_von
05/09/2023,5.5,%,Lai_suat_tai_cap_von
05/08/2023,5.5,%,Lai_suat_tai_cap_von
05/07/2023,5.5,%,Lai_suat_tai_cap_von
05/04/2023,5.5,%,Lai_suat_tai_cap_von
05/03/2023,5.5,%,Lai_suat_tai_cap_von
05/02/2023,5.5,%,Lai_suat_tai_cap_von
04/28/2023,5.5,%,Lai_suat_tai_cap_von
04/27/2023,5.5,%,Lai_suat_tai_cap_von
04/26/2023,5.5,%,Lai_suat_tai_cap_von
04/25/2023,5.5,%,Lai_suat_tai_cap_von
04/24/2023,5.5,%,Lai_suat_tai_cap_von
04/23/2023,5.5,%,Lai_suat_tai_cap_von
04/20/2023,5.5,%,Lai_suat_tai_cap_von
04/19/2023,5.5,%,Lai_suat_tai_cap_von
04/18/2023,5.5,%,Lai_suat_tai_cap_von
04/17/2023,5.5,%,Lai_suat_tai_cap_von
04/16/2023,5.5,%,Lai_suat_tai_cap_von
04/13/2023,5.5,%,Lai_suat_tai_cap_von
04/12/2023,5.5,%,Lai_suat_tai_cap_von
04/11/2023,5.5,%,Lai_suat_tai_cap_von
04/10/2023,5.5,%,Lai_suat_tai_cap_von
04/09/2023,5.5,%,Lai_suat_tai_cap_von
04/06/2023,5.5,%,Lai_suat_tai_cap_von
04/05/2023,5.5,%,Lai_suat_tai_cap_von
04/04/2023,5.5,%,Lai_suat_tai_cap_von
04/03/2023,5.5,%,Lai_suat_tai_cap_von
04/02/2023,5.5,%,Lai_suat_tai_cap_von
03/30/2023,6,%,Lai_suat_tai_cap_von
03/29/2023,6,%,Lai_suat_tai_cap_von
03/28/2023,6,%,Lai_suat_tai_cap_von
03/27/2023,6,%,Lai_suat_tai_cap_von
03/26/2023,6,%,Lai_suat_tai_cap_von
03/23/2023,6,%,Lai_suat_tai_cap_von
03/22/2023,6,%,Lai_suat_tai_cap_von
03/21/2023,6,%,Lai_suat_tai_cap_von
03/20/2023,6,%,Lai_suat_tai_cap_von
03/19/2023,6,%,Lai_suat_tai_cap_von
03/16/2023,6,%,Lai_suat_tai_cap_von
03/15/2023,6,%,Lai_suat_tai_cap_von
03/14/2023,6,%,Lai_suat_tai_cap_von
03/13/2023,6,%,Lai_suat_tai_cap_von
03/12/2023,6,%,Lai_suat_tai_cap_von
03/09/2023,6,%,Lai_suat_tai_cap_von
03/08/2023,6,%,Lai_suat_tai_cap_von
03/07/2023,6,%,Lai_suat_tai_cap_von
03/06/2023,6,%,Lai_suat_tai_cap_von
03/05/2023,6,%,Lai_suat_tai_cap_von
03/02/2023,6,%,Lai_suat_tai_cap_von
03/01/2023,6,%,Lai_suat_tai_cap_von
02/28/2023,6,%,Lai_suat_tai_cap_von
02/27/2023,6,%,Lai_suat_tai_cap_von
02/26/2023,6,%,Lai_suat_tai_cap_von
02/23/2023,6,%,Lai_suat_tai_cap_von
02/22/2023,6,%,Lai_suat_tai_cap_von
02/21/2023,6,%,Lai_suat_tai_cap_von
02/20/2023,6,%,Lai_suat_tai_cap_von
02/19/2023,6,%,Lai_suat_tai_cap_von
02/16/2023,6,%,Lai_suat_tai_cap_von
02/15/2023,6,%,Lai_suat_tai_cap_von
02/14/2023,6,%,Lai_suat_tai_cap_von
02/13/2023,6,%,Lai_suat_tai_cap_von
02/12/2023,6,%,Lai_suat_tai_cap_von
02/09/2023,6,%,Lai_suat_tai_cap_von
02/08/2023,6,%,Lai_suat_tai_cap_von
02/07/2023,6,%,Lai_suat_tai_cap_von
02/06/2023,6,%,Lai_suat_tai_cap_von
02/05/2023,6,%,Lai_suat_tai_cap_von
02/02/2023,6,%,Lai_suat_tai_cap_von
