date,price,unit,title
08/03/2023,,%,LS_lien_ngan_hang_ky_han_2_tuan
08/02/2023,,%,LS_lien_ngan_hang_ky_han_2_tuan
08/01/2023,0.69,%,LS_lien_ngan_hang_ky_han_2_tuan
07/31/2023,0.61,%,LS_lien_ngan_hang_ky_han_2_tuan
07/30/2023,0.7,%,LS_lien_ngan_hang_ky_han_2_tuan
07/27/2023,0.62,%,LS_lien_ngan_hang_ky_han_2_tuan
07/26/2023,0.61,%,LS_lien_ngan_hang_ky_han_2_tuan
07/25/2023,0.64,%,LS_lien_ngan_hang_ky_han_2_tuan
07/24/2023,0.6,%,LS_lien_ngan_hang_ky_han_2_tuan
07/23/2023,0.6,%,LS_lien_ngan_hang_ky_han_2_tuan
07/20/2023,0.6,%,LS_lien_ngan_hang_ky_han_2_tuan
07/19/2023,0.61,%,LS_lien_ngan_hang_ky_han_2_tuan
07/18/2023,0.72,%,LS_lien_ngan_hang_ky_han_2_tuan
07/17/2023,0.68,%,LS_lien_ngan_hang_ky_han_2_tuan
07/16/2023,0.46,%,LS_lien_ngan_hang_ky_han_2_tuan
07/13/2023,0.49,%,LS_lien_ngan_hang_ky_han_2_tuan
07/12/2023,0.51,%,LS_lien_ngan_hang_ky_han_2_tuan
07/11/2023,0.69,%,LS_lien_ngan_hang_ky_han_2_tuan
07/10/2023,0.83,%,LS_lien_ngan_hang_ky_han_2_tuan
07/09/2023,0.93,%,LS_lien_ngan_hang_ky_han_2_tuan
07/06/2023,1.33,%,LS_lien_ngan_hang_ky_han_2_tuan
07/05/2023,1.31,%,LS_lien_ngan_hang_ky_han_2_tuan
07/04/2023,1.69,%,LS_lien_ngan_hang_ky_han_2_tuan
07/03/2023,1.6,%,LS_lien_ngan_hang_ky_han_2_tuan
07/02/2023,1.46,%,LS_lien_ngan_hang_ky_han_2_tuan
06/29/2023,1.51,%,LS_lien_ngan_hang_ky_han_2_tuan
06/28/2023,1.43,%,LS_lien_ngan_hang_ky_han_2_tuan
06/27/2023,1.53,%,LS_lien_ngan_hang_ky_han_2_tuan
06/26/2023,1.64,%,LS_lien_ngan_hang_ky_han_2_tuan
06/25/2023,1.78,%,LS_lien_ngan_hang_ky_han_2_tuan
06/22/2023,1.87,%,LS_lien_ngan_hang_ky_han_2_tuan
06/21/2023,1.77,%,LS_lien_ngan_hang_ky_han_2_tuan
06/20/2023,1.41,%,LS_lien_ngan_hang_ky_han_2_tuan
06/19/2023,1.48,%,LS_lien_ngan_hang_ky_han_2_tuan
06/18/2023,1.4,%,LS_lien_ngan_hang_ky_han_2_tuan
06/15/2023,1.62,%,LS_lien_ngan_hang_ky_han_2_tuan
06/14/2023,1.83,%,LS_lien_ngan_hang_ky_han_2_tuan
06/13/2023,2.11,%,LS_lien_ngan_hang_ky_han_2_tuan
06/12/2023,2.41,%,LS_lien_ngan_hang_ky_han_2_tuan
06/11/2023,2.73,%,LS_lien_ngan_hang_ky_han_2_tuan
06/08/2023,3.17,%,LS_lien_ngan_hang_ky_han_2_tuan
06/07/2023,3.19,%,LS_lien_ngan_hang_ky_han_2_tuan
06/06/2023,3.81,%,LS_lien_ngan_hang_ky_han_2_tuan
06/05/2023,4.08,%,LS_lien_ngan_hang_ky_han_2_tuan
