date,price,unit,title
08/03/2023,,%,LS_qua_dem_lien_ngan_hang
08/02/2023,,%,LS_qua_dem_lien_ngan_hang
08/01/2023,0.22,%,LS_qua_dem_lien_ngan_hang
07/31/2023,0.22,%,LS_qua_dem_lien_ngan_hang
07/30/2023,0.19,%,LS_qua_dem_lien_ngan_hang
07/27/2023,0.2,%,LS_qua_dem_lien_ngan_hang
07/26/2023,0.19,%,LS_qua_dem_lien_ngan_hang
07/25/2023,0.21,%,LS_qua_dem_lien_ngan_hang
07/24/2023,0.2,%,LS_qua_dem_lien_ngan_hang
07/23/2023,0.2,%,LS_qua_dem_lien_ngan_hang
07/20/2023,0.19,%,LS_qua_dem_lien_ngan_hang
07/19/2023,0.25,%,LS_qua_dem_lien_ngan_hang
07/18/2023,0.34,%,LS_qua_dem_lien_ngan_hang
07/17/2023,0.46,%,LS_qua_dem_lien_ngan_hang
07/16/2023,0.15,%,LS_qua_dem_lien_ngan_hang
07/13/2023,0.14,%,LS_qua_dem_lien_ngan_hang
07/12/2023,0.16,%,LS_qua_dem_lien_ngan_hang
07/11/2023,0.21,%,LS_qua_dem_lien_ngan_hang
07/10/2023,0.26,%,LS_qua_dem_lien_ngan_hang
07/09/2023,0.34,%,LS_qua_dem_lien_ngan_hang
07/06/2023,0.42,%,LS_qua_dem_lien_ngan_hang
07/05/2023,0.61,%,LS_qua_dem_lien_ngan_hang
07/04/2023,0.64,%,LS_qua_dem_lien_ngan_hang
07/03/2023,0.69,%,LS_qua_dem_lien_ngan_hang
07/02/2023,0.66,%,LS_qua_dem_lien_ngan_hang
06/29/2023,0.44,%,LS_qua_dem_lien_ngan_hang
06/28/2023,0.39,%,LS_qua_dem_lien_ngan_hang
06/27/2023,0.69,%,LS_qua_dem_lien_ngan_hang
06/26/2023,0.89,%,LS_qua_dem_lien_ngan_hang
06/25/2023,1.04,%,LS_qua_dem_lien_ngan_hang
06/22/2023,1.08,%,LS_qua_dem_lien_ngan_hang
06/21/2023,0.91,%,LS_qua_dem_lien_ngan_hang
06/20/2023,0.55,%,LS_qua_dem_lien_ngan_hang
06/19/2023,0.55,%,LS_qua_dem_lien_ngan_hang
06/18/2023,0.73,%,LS_qua_dem_lien_ngan_hang
06/15/2023,0.94,%,LS_qua_dem_lien_ngan_hang
06/14/2023,1.3,%,LS_qua_dem_lien_ngan_hang
06/13/2023,1.65,%,LS_qua_dem_lien_ngan_hang
06/12/2023,2.02,%,LS_qua_dem_lien_ngan_hang
06/11/2023,2.4,%,LS_qua_dem_lien_ngan_hang
06/08/2023,2.69,%,LS_qua_dem_lien_ngan_hang
06/07/2023,3.1,%,LS_qua_dem_lien_ngan_hang
06/06/2023,3.51,%,LS_qua_dem_lien_ngan_hang
06/05/2023,3.75,%,LS_qua_dem_lien_ngan_hang
06/04/2023,3.92,%,LS_qua_dem_lien_ngan_hang
06/01/2023,4.02,%,LS_qua_dem_lien_ngan_hang
05/31/2023,4.07,%,LS_qua_dem_lien_ngan_hang
05/30/2023,3.9,%,LS_qua_dem_lien_ngan_hang
05/29/2023,3.77,%,LS_qua_dem_lien_ngan_hang
05/28/2023,3.96,%,LS_qua_dem_lien_ngan_hang
05/25/2023,4.07,%,LS_qua_dem_lien_ngan_hang
05/24/2023,4.14,%,LS_qua_dem_lien_ngan_hang
05/23/2023,4.35,%,LS_qua_dem_lien_ngan_hang
05/22/2023,4.42,%,LS_qua_dem_lien_ngan_hang
05/21/2023,4.43,%,LS_qua_dem_lien_ngan_hang
05/18/2023,4.49,%,LS_qua_dem_lien_ngan_hang
05/17/2023,4.64,%,LS_qua_dem_lien_ngan_hang
05/16/2023,4.87,%,LS_qua_dem_lien_ngan_hang
05/15/2023,4.94,%,LS_qua_dem_lien_ngan_hang
05/14/2023,4.92,%,LS_qua_dem_lien_ngan_hang
05/11/2023,4.88,%,LS_qua_dem_lien_ngan_hang
05/10/2023,4.83,%,LS_qua_dem_lien_ngan_hang
05/09/2023,4.84,%,LS_qua_dem_lien_ngan_hang
05/08/2023,5.07,%,LS_qua_dem_lien_ngan_hang
05/07/2023,5.08,%,LS_qua_dem_lien_ngan_hang
05/04/2023,5.05,%,LS_qua_dem_lien_ngan_hang
05/03/2023,5,%,LS_qua_dem_lien_ngan_hang
05/02/2023,,%,LS_qua_dem_lien_ngan_hang
04/28/2023,,%,LS_qua_dem_lien_ngan_hang
04/27/2023,4.12,%,LS_qua_dem_lien_ngan_hang
04/26/2023,4.12,%,LS_qua_dem_lien_ngan_hang
04/25/2023,4.82,%,LS_qua_dem_lien_ngan_hang
04/24/2023,6.26,%,LS_qua_dem_lien_ngan_hang
04/23/2023,3.84,%,LS_qua_dem_lien_ngan_hang
04/20/2023,3.29,%,LS_qua_dem_lien_ngan_hang
04/19/2023,3.78,%,LS_qua_dem_lien_ngan_hang
04/18/2023,4.48,%,LS_qua_dem_lien_ngan_hang
04/17/2023,5.3,%,LS_qua_dem_lien_ngan_hang
04/16/2023,5.52,%,LS_qua_dem_lien_ngan_hang
04/13/2023,5.54,%,LS_qua_dem_lien_ngan_hang
04/12/2023,5.49,%,LS_qua_dem_lien_ngan_hang
04/11/2023,5.32,%,LS_qua_dem_lien_ngan_hang
04/10/2023,5.22,%,LS_qua_dem_lien_ngan_hang
04/09/2023,5.19,%,LS_qua_dem_lien_ngan_hang
04/06/2023,5.06,%,LS_qua_dem_lien_ngan_hang
04/05/2023,4.44,%,LS_qua_dem_lien_ngan_hang
04/04/2023,3.41,%,LS_qua_dem_lien_ngan_hang
04/03/2023,2.48,%,LS_qua_dem_lien_ngan_hang
04/02/2023,2.12,%,LS_qua_dem_lien_ngan_hang
03/30/2023,1.12,%,LS_qua_dem_lien_ngan_hang
03/29/2023,0.9,%,LS_qua_dem_lien_ngan_hang
03/28/2023,0.96,%,LS_qua_dem_lien_ngan_hang
03/27/2023,0.98,%,LS_qua_dem_lien_ngan_hang
03/26/2023,1.06,%,LS_qua_dem_lien_ngan_hang
03/23/2023,1.14,%,LS_qua_dem_lien_ngan_hang
03/22/2023,1.34,%,LS_qua_dem_lien_ngan_hang
03/21/2023,1.55,%,LS_qua_dem_lien_ngan_hang
03/20/2023,2.05,%,LS_qua_dem_lien_ngan_hang
03/19/2023,2.7,%,LS_qua_dem_lien_ngan_hang
03/16/2023,3.4,%,LS_qua_dem_lien_ngan_hang
03/15/2023,4.14,%,LS_qua_dem_lien_ngan_hang
03/14/2023,5.06,%,LS_qua_dem_lien_ngan_hang
03/13/2023,5.72,%,LS_qua_dem_lien_ngan_hang
03/12/2023,6.17,%,LS_qua_dem_lien_ngan_hang
03/09/2023,6.22,%,LS_qua_dem_lien_ngan_hang
03/08/2023,6.22,%,LS_qua_dem_lien_ngan_hang
03/07/2023,5.98,%,LS_qua_dem_lien_ngan_hang
03/06/2023,6.07,%,LS_qua_dem_lien_ngan_hang
