date,price,unit,title
04/30/2023,9.08,%,Tang_truong
03/31/2023,9.7,%,Tang_truong
02/28/2023,10.52,%,Tang_truong
01/31/2023,12.17,%,Tang_truong
12/31/2022,11.52,%,Tang_truong
11/30/2022,14.18,%,Tang_truong
10/31/2022,14.84,%,Tang_truong
09/30/2022,16.59,%,Tang_truong
08/31/2022,16.94,%,Tang_truong
07/31/2022,16.28,%,Tang_truong
06/30/2022,16.4,%,Tang_truong
05/31/2022,16.8,%,Tang_truong
04/30/2022,17.01,%,Tang_truong
03/31/2022,16.95,%,Tang_truong
02/28/2022,16.94,%,Tang_truong
01/31/2022,15.86,%,Tang_truong
12/31/2021,15.56,%,Tang_truong
11/30/2021,13.61,%,Tang_truong
10/31/2021,14.64,%,Tang_truong
09/30/2021,14.24,%,Tang_truong
08/31/2021,14.07,%,Tang_truong
07/31/2021,14.98,%,Tang_truong
06/30/2021,15.26,%,Tang_truong
05/31/2021,15.19,%,Tang_truong
04/30/2021,15.42,%,Tang_truong
03/31/2021,15.21,%,Tang_truong
02/28/2021,13.99,%,Tang_truong
01/31/2021,12.71,%,Tang_truong
12/31/2020,12.91,%,Tang_truong
11/30/2020,12.17,%,Tang_truong
10/31/2020,11,%,Tang_truong
09/30/2020,10.3,%,Tang_truong
08/31/2020,10.21,%,Tang_truong
07/31/2020,10.14,%,Tang_truong
06/30/2020,10.02,%,Tang_truong
05/31/2020,9.72,%,Tang_truong
04/30/2020,9.58,%,Tang_truong
03/31/2020,10.33,%,Tang_truong
02/29/2020,11.64,%,Tang_truong
01/31/2020,12.64,%,Tang_truong
12/31/2019,11.63,%,Tang_truong
11/30/2019,13.65,%,Tang_truong
10/31/2019,12.56,%,Tang_truong
09/30/2019,12.73,%,Tang_truong
08/31/2019,12.93,%,Tang_truong
07/31/2019,13.04,%,Tang_truong
06/30/2019,13.28,%,Tang_truong
05/31/2019,13.4,%,Tang_truong
04/30/2019,13.46,%,Tang_truong
03/31/2019,13.21,%,Tang_truong
02/28/2019,13.45,%,Tang_truong
01/31/2019,13.58,%,Tang_truong
12/31/2018,14.99,%,Tang_truong
11/30/2018,10.74,%,Tang_truong
10/31/2018,11.62,%,Tang_truong
09/30/2018,12.42,%,Tang_truong
