date,price,unit,title
02/28/2023,5966,trieu USD,Can_can_vang_lai
11/30/2022,3905,trieu USD,Can_can_vang_lai
08/31/2022,1520,trieu USD,Can_can_vang_lai
05/31/2022,-4897,trieu USD,Can_can_vang_lai
02/28/2022,-2008,trieu USD,Can_can_vang_lai
11/30/2021,3460,trieu USD,Can_can_vang_lai
08/31/2021,-4291,trieu USD,Can_can_vang_lai
05/31/2021,-5905,trieu USD,Can_can_vang_lai
02/28/2021,-455,trieu USD,Can_can_vang_lai
11/30/2020,2195,trieu USD,Can_can_vang_lai
08/31/2020,8749,trieu USD,Can_can_vang_lai
05/31/2020,-82,trieu USD,Can_can_vang_lai
02/29/2020,4198,trieu USD,Can_can_vang_lai
11/30/2019,4530,trieu USD,Can_can_vang_lai
08/31/2019,6261,trieu USD,Can_can_vang_lai
05/31/2019,-300,trieu USD,Can_can_vang_lai
02/28/2019,1677,trieu USD,Can_can_vang_lai
11/30/2018,-907,trieu USD,Can_can_vang_lai
08/31/2018,3148,trieu USD,Can_can_vang_lai
05/31/2018,500,trieu USD,Can_can_vang_lai
02/28/2018,3028,trieu USD,Can_can_vang_lai
11/30/2017,983,trieu USD,Can_can_vang_lai
08/31/2017,2297,trieu USD,Can_can_vang_lai
05/31/2017,-1451,trieu USD,Can_can_vang_lai
02/28/2017,-3480,trieu USD,Can_can_vang_lai
11/30/2016,-1936,trieu USD,Can_can_vang_lai
08/31/2016,1719,trieu USD,Can_can_vang_lai
05/31/2016,2242,trieu USD,Can_can_vang_lai
02/29/2016,935,trieu USD,Can_can_vang_lai
11/30/2015,178,trieu USD,Can_can_vang_lai
08/31/2015,-156,trieu USD,Can_can_vang_lai
05/31/2015,-27,trieu USD,Can_can_vang_lai
02/28/2015,-2034,trieu USD,Can_can_vang_lai
11/30/2014,1910,trieu USD,Can_can_vang_lai
08/31/2014,2421,trieu USD,Can_can_vang_lai
05/31/2014,2470,trieu USD,Can_can_vang_lai
02/28/2014,2559,trieu USD,Can_can_vang_lai
11/30/2013,1544,trieu USD,Can_can_vang_lai
08/31/2013,3084,trieu USD,Can_can_vang_lai
05/31/2013,799,trieu USD,Can_can_vang_lai
02/28/2013,2318,trieu USD,Can_can_vang_lai
11/30/2012,2519,trieu USD,Can_can_vang_lai
08/31/2012,2205,trieu USD,Can_can_vang_lai
05/31/2012,1914,trieu USD,Can_can_vang_lai
02/29/2012,2629,trieu USD,Can_can_vang_lai
