date,price,unit,title
12/30/2022,0.97,%,Tang_truong
12/30/2021,0.95,%,Tang_truong
12/30/2020,1.14,%,Tang_truong
12/30/2019,1.15,%,Tang_truong
12/30/2018,1.17,%,Tang_truong
12/30/2017,1.11,%,Tang_truong
12/30/2016,1.11,%,Tang_truong
12/30/2015,1.12,%,Tang_truong
12/30/2014,1.12,%,Tang_truong
12/30/2013,1.11,%,Tang_truong
12/30/2012,1.2,%,Tang_truong
12/30/2011,1.24,%,Tang_truong
12/30/2010,1.21,%,Tang_truong
12/30/2009,1.06,%,Tang_truong
12/30/2008,1.07,%,Tang_truong
12/30/2007,1.09,%,Tang_truong
12/30/2006,1.12,%,Tang_truong
12/30/2005,1.17,%,Tang_truong
12/30/2004,1.2,%,Tang_truong
12/30/2003,1.17,%,Tang_truong
12/30/2002,1.17,%,Tang_truong
12/30/2001,1.27,%,Tang_truong
12/30/2000,1.35,%,Tang_truong
