date,price,unit,title
05/31/2023,11.05,%,Tang_truong_FDI_dang_ky
04/30/2023,120.47,%,Tang_truong_FDI_dang_ky
03/31/2023,80.01,%,Tang_truong_FDI_dang_ky
02/28/2023,-39.93,%,Tang_truong_FDI_dang_ky
01/31/2023,-51.21,%,Tang_truong_FDI_dang_ky
12/31/2022,-19.81,%,Tang_truong_FDI_dang_ky
11/30/2022,-44.94,%,Tang_truong_FDI_dang_ky
10/31/2022,-1.87,%,Tang_truong_FDI_dang_ky
09/30/2022,132.84,%,Tang_truong_FDI_dang_ky
08/31/2022,-34.55,%,Tang_truong_FDI_dang_ky
07/31/2022,-48.54,%,Tang_truong_FDI_dang_ky
06/30/2022,4.03,%,Tang_truong_FDI_dang_ky
05/31/2022,81.78,%,Tang_truong_FDI_dang_ky
04/30/2022,-48.56,%,Tang_truong_FDI_dang_ky
03/31/2022,-10.11,%,Tang_truong_FDI_dang_ky
02/28/2022,-16.28,%,Tang_truong_FDI_dang_ky
01/31/2022,-15.91,%,Tang_truong_FDI_dang_ky
12/31/2021,4.22,%,Tang_truong_FDI_dang_ky
11/30/2021,123.59,%,Tang_truong_FDI_dang_ky
10/31/2021,-7.67,%,Tang_truong_FDI_dang_ky
09/30/2021,-29.97,%,Tang_truong_FDI_dang_ky
08/31/2021,81.1,%,Tang_truong_FDI_dang_ky
07/31/2021,232.75,%,Tang_truong_FDI_dang_ky
06/30/2021,-53.84,%,Tang_truong_FDI_dang_ky
05/31/2021,-28.53,%,Tang_truong_FDI_dang_ky
04/30/2021,12.28,%,Tang_truong_FDI_dang_ky
03/31/2021,-43.9,%,Tang_truong_FDI_dang_ky
02/28/2021,124.27,%,Tang_truong_FDI_dang_ky
01/31/2021,202.03,%,Tang_truong_FDI_dang_ky
12/31/2020,-62.16,%,Tang_truong_FDI_dang_ky
11/30/2020,-66.29,%,Tang_truong_FDI_dang_ky
10/31/2020,10.1,%,Tang_truong_FDI_dang_ky
09/30/2020,-22.95,%,Tang_truong_FDI_dang_ky
08/31/2020,-52.79,%,Tang_truong_FDI_dang_ky
07/31/2020,-70.08,%,Tang_truong_FDI_dang_ky
06/30/2020,79.77,%,Tang_truong_FDI_dang_ky
05/31/2020,3.11,%,Tang_truong_FDI_dang_ky
04/30/2020,-27.61,%,Tang_truong_FDI_dang_ky
03/31/2020,-0.15,%,Tang_truong_FDI_dang_ky
02/29/2020,-10.76,%,Tang_truong_FDI_dang_ky
01/31/2020,-82.64,%,Tang_truong_FDI_dang_ky
12/31/2019,179.45,%,Tang_truong_FDI_dang_ky
11/30/2019,34.44,%,Tang_truong_FDI_dang_ky
10/31/2019,-8.33,%,Tang_truong_FDI_dang_ky
09/30/2019,16.2,%,Tang_truong_FDI_dang_ky
08/31/2019,245.27,%,Tang_truong_FDI_dang_ky
07/31/2019,71.6,%,Tang_truong_FDI_dang_ky
06/30/2019,-32.98,%,Tang_truong_FDI_dang_ky
