date,price,unit,title
05/31/2023,0.98,%,Tang_truong_FDI_thuc_hien
04/30/2023,0.56,%,Tang_truong_FDI_thuc_hien
03/31/2023,1.73,%,Tang_truong_FDI_thuc_hien
02/28/2023,1.95,%,Tang_truong_FDI_thuc_hien
01/31/2023,12.36,%,Tang_truong_FDI_thuc_hien
12/31/2022,-16.25,%,Tang_truong_FDI_thuc_hien
11/30/2022,2.88,%,Tang_truong_FDI_thuc_hien
10/31/2022,14.36,%,Tang_truong_FDI_thuc_hien
09/30/2022,8.13,%,Tang_truong_FDI_thuc_hien
08/31/2022,54.59,%,Tang_truong_FDI_thuc_hien
07/31/2022,13.89,%,Tang_truong_FDI_thuc_hien
06/30/2022,20,%,Tang_truong_FDI_thuc_hien
05/31/2022,12.34,%,Tang_truong_FDI_thuc_hien
04/30/2022,8.48,%,Tang_truong_FDI_thuc_hien
03/31/2022,7.14,%,Tang_truong_FDI_thuc_hien
02/28/2022,8.75,%,Tang_truong_FDI_thuc_hien
01/31/2022,7.88,%,Tang_truong_FDI_thuc_hien
12/31/2021,6.75,%,Tang_truong_FDI_thuc_hien
11/30/2021,-5.04,%,Tang_truong_FDI_thuc_hien
10/31/2021,39.29,%,Tang_truong_FDI_thuc_hien
09/30/2021,-8.33,%,Tang_truong_FDI_thuc_hien
08/31/2021,-29.46,%,Tang_truong_FDI_thuc_hien
07/31/2021,-12.2,%,Tang_truong_FDI_thuc_hien
06/30/2021,-14.29,%,Tang_truong_FDI_thuc_hien
05/31/2021,7.18,%,Tang_truong_FDI_thuc_hien
04/30/2021,6.45,%,Tang_truong_FDI_thuc_hien
03/31/2021,7.69,%,Tang_truong_FDI_thuc_hien
02/28/2021,14.29,%,Tang_truong_FDI_thuc_hien
01/31/2021,16.47,%,Tang_truong_FDI_thuc_hien
12/31/2020,-5.63,%,Tang_truong_FDI_thuc_hien
11/30/2020,0.72,%,Tang_truong_FDI_thuc_hien
10/31/2020,-0.71,%,Tang_truong_FDI_thuc_hien
09/30/2020,2.51,%,Tang_truong_FDI_thuc_hien
08/31/2020,6.64,%,Tang_truong_FDI_thuc_hien
