date,price,unit,title
12/31/2021,96.58,trieu/nguoi,Thu_nhap_binh_quan
12/31/2020,86.9,trieu/nguoi,Thu_nhap_binh_quan
12/31/2019,83.38,trieu/nguoi,Thu_nhap_binh_quan
12/31/2018,80.8,trieu/nguoi,Thu_nhap_binh_quan
12/31/2017,74.34,trieu/nguoi,Thu_nhap_binh_quan
12/31/2016,67.49,trieu/nguoi,Thu_nhap_binh_quan
12/31/2015,61.15,trieu/nguoi,Thu_nhap_binh_quan
12/31/2014,56.92,trieu/nguoi,Thu_nhap_binh_quan
12/31/2013,54.74,trieu/nguoi,Thu_nhap_binh_quan
12/31/2012,50.15,trieu/nguoi,Thu_nhap_binh_quan
12/31/2011,46.22,trieu/nguoi,Thu_nhap_binh_quan
12/31/2010,40.66,trieu/nguoi,Thu_nhap_binh_quan
12/31/2009,31.85,trieu/nguoi,Thu_nhap_binh_quan
12/31/2008,21.25,trieu/nguoi,Thu_nhap_binh_quan
12/31/2007,19.19,trieu/nguoi,Thu_nhap_binh_quan
12/31/2006,14.97,trieu/nguoi,Thu_nhap_binh_quan
12/31/2005,12.88,trieu/nguoi,Thu_nhap_binh_quan
12/31/2004,11.22,trieu/nguoi,Thu_nhap_binh_quan
12/31/2003,8.89,trieu/nguoi,Thu_nhap_binh_quan
12/31/2002,7.71,trieu/nguoi,Thu_nhap_binh_quan
12/31/2001,6.81,trieu/nguoi,Thu_nhap_binh_quan
12/31/2000,6.2,trieu/nguoi,Thu_nhap_binh_quan
12/31/1999,5.77,trieu/nguoi,Thu_nhap_binh_quan
