date,price,unit,title
06/30/2023,1038.56,nghin nguoi,Khach_quoc_te
05/31/2023,975.01,nghin nguoi,Khach_quoc_te
04/30/2023,916.26,nghin nguoi,Khach_quoc_te
03/31/2023,984.15,nghin nguoi,Khach_quoc_te
02/28/2023,895.42,nghin nguoi,Khach_quoc_te
01/31/2023,932.97,nghin nguoi,Khach_quoc_te
12/31/2022,871.16,nghin nguoi,Khach_quoc_te
11/30/2022,707.07,nghin nguoi,Khach_quoc_te
10/31/2022,596.92,nghin nguoi,Khach_quoc_te
09/30/2022,484.36,nghin nguoi,Khach_quoc_te
08/31/2022,431.91,nghin nguoi,Khach_quoc_te
07/31/2022,486.41,nghin nguoi,Khach_quoc_te
06/30/2022,352.58,nghin nguoi,Khach_quoc_te
05/31/2022,236.68,nghin nguoi,Khach_quoc_te
04/30/2022,172.95,nghin nguoi,Khach_quoc_te
03/31/2022,101.37,nghin nguoi,Khach_quoc_te
02/28/2022,41.74,nghin nguoi,Khach_quoc_te
01/31/2022,29.52,nghin nguoi,Khach_quoc_te
12/31/2021,19.73,nghin nguoi,Khach_quoc_te
11/30/2021,17.16,nghin nguoi,Khach_quoc_te
10/31/2021,15.03,nghin nguoi,Khach_quoc_te
09/30/2021,10.55,nghin nguoi,Khach_quoc_te
08/31/2021,9.5,nghin nguoi,Khach_quoc_te
07/31/2021,9.3,nghin nguoi,Khach_quoc_te
06/30/2021,7.47,nghin nguoi,Khach_quoc_te
05/31/2021,7.2,nghin nguoi,Khach_quoc_te
04/30/2021,13.47,nghin nguoi,Khach_quoc_te
03/31/2021,19.47,nghin nguoi,Khach_quoc_te
02/28/2021,19.42,nghin nguoi,Khach_quoc_te
01/31/2021,10.95,nghin nguoi,Khach_quoc_te
12/31/2020,17.74,nghin nguoi,Khach_quoc_te
11/30/2020,16.28,nghin nguoi,Khach_quoc_te
10/31/2020,17.72,nghin nguoi,Khach_quoc_te
09/30/2020,14.82,nghin nguoi,Khach_quoc_te
08/31/2020,13.77,nghin nguoi,Khach_quoc_te
07/31/2020,16.3,nghin nguoi,Khach_quoc_te
06/30/2020,13.94,nghin nguoi,Khach_quoc_te
05/31/2020,8.78,nghin nguoi,Khach_quoc_te
04/30/2020,22.67,nghin nguoi,Khach_quoc_te
03/31/2020,26.24,nghin nguoi,Khach_quoc_te
02/29/2020,449.9,nghin nguoi,Khach_quoc_te
01/31/2020,1242.7,nghin nguoi,Khach_quoc_te
12/31/2019,1994.1,nghin nguoi,Khach_quoc_te
11/30/2019,1710.2,nghin nguoi,Khach_quoc_te
10/31/2019,1809.6,nghin nguoi,Khach_quoc_te
09/30/2019,1618.3,nghin nguoi,Khach_quoc_te
08/31/2019,1561.3,nghin nguoi,Khach_quoc_te
07/31/2019,1512.4,nghin nguoi,Khach_quoc_te
06/30/2019,1315.8,nghin nguoi,Khach_quoc_te
05/31/2019,1185.4,nghin nguoi,Khach_quoc_te
04/30/2019,1326.7,nghin nguoi,Khach_quoc_te
03/31/2019,1468.8,nghin nguoi,Khach_quoc_te
02/28/2019,1410.2,nghin nguoi,Khach_quoc_te
01/31/2019,1588.2,nghin nguoi,Khach_quoc_te
12/31/2018,1501.8,nghin nguoi,Khach_quoc_te
11/30/2018,1374.2,nghin nguoi,Khach_quoc_te
10/31/2018,1301.9,nghin nguoi,Khach_quoc_te
09/30/2018,1205.2,nghin nguoi,Khach_quoc_te
08/31/2018,1212.6,nghin nguoi,Khach_quoc_te
07/31/2018,1323.5,nghin nguoi,Khach_quoc_te
06/30/2018,1188.8,nghin nguoi,Khach_quoc_te
05/31/2018,1183.1,nghin nguoi,Khach_quoc_te
04/30/2018,1161.1,nghin nguoi,Khach_quoc_te
03/31/2018,1341.9,nghin nguoi,Khach_quoc_te
02/28/2018,1343.3,nghin nguoi,Khach_quoc_te
01/31/2018,1431.8,nghin nguoi,Khach_quoc_te
12/31/2017,1430.2,nghin nguoi,Khach_quoc_te
11/30/2017,1276.4,nghin nguoi,Khach_quoc_te
10/31/2017,1172.6,nghin nguoi,Khach_quoc_te
09/30/2017,1024.9,nghin nguoi,Khach_quoc_te
08/31/2017,976,nghin nguoi,Khach_quoc_te
07/31/2017,1229.2,nghin nguoi,Khach_quoc_te
06/30/2017,1036.9,nghin nguoi,Khach_quoc_te
05/31/2017,949.4,nghin nguoi,Khach_quoc_te
04/30/2017,972.8,nghin nguoi,Khach_quoc_te
03/31/2017,1071.7,nghin nguoi,Khach_quoc_te
02/28/2017,1005.8,nghin nguoi,Khach_quoc_te
