date,price,unit,title
06/30/2023,194.56,%,Tang_truong
05/31/2023,311.96,%,Tang_truong
04/30/2023,429.79,%,Tang_truong
03/31/2023,870.82,%,Tang_truong
02/28/2023,2045.24,%,Tang_truong
01/31/2023,3060.79,%,Tang_truong
12/31/2022,4316.09,%,Tang_truong
11/30/2022,4019.74,%,Tang_truong
10/31/2022,3871.52,%,Tang_truong
09/30/2022,4488.87,%,Tang_truong
08/31/2022,4444.98,%,Tang_truong
07/31/2022,5130.75,%,Tang_truong
06/30/2022,4618.04,%,Tang_truong
05/31/2022,3185.81,%,Tang_truong
04/30/2022,1184.14,%,Tang_truong
03/31/2022,420.64,%,Tang_truong
02/28/2022,114.96,%,Tang_truong
01/31/2022,169.56,%,Tang_truong
12/31/2021,11.23,%,Tang_truong
11/30/2021,5.45,%,Tang_truong
10/31/2021,-15.17,%,Tang_truong
09/30/2021,-28.77,%,Tang_truong
08/31/2021,-30.98,%,Tang_truong
07/31/2021,-42.95,%,Tang_truong
06/30/2021,-46.39,%,Tang_truong
05/31/2021,-18,%,Tang_truong
04/30/2021,-40.6,%,Tang_truong
03/31/2021,-25.8,%,Tang_truong
02/28/2021,-95.68,%,Tang_truong
01/31/2021,-99.12,%,Tang_truong
12/31/2020,-99.11,%,Tang_truong
11/30/2020,-99.05,%,Tang_truong
10/31/2020,-99.02,%,Tang_truong
09/30/2020,-99.08,%,Tang_truong
08/31/2020,-99.12,%,Tang_truong
07/31/2020,-98.92,%,Tang_truong
06/30/2020,-98.94,%,Tang_truong
05/31/2020,-99.26,%,Tang_truong
04/30/2020,-98.29,%,Tang_truong
03/31/2020,-98.21,%,Tang_truong
02/29/2020,-68.1,%,Tang_truong
01/31/2020,-21.75,%,Tang_truong
12/31/2019,32.78,%,Tang_truong
11/30/2019,24.45,%,Tang_truong
10/31/2019,39,%,Tang_truong
09/30/2019,34.28,%,Tang_truong
08/31/2019,28.76,%,Tang_truong
07/31/2019,14.27,%,Tang_truong
06/30/2019,10.68,%,Tang_truong
05/31/2019,0.19,%,Tang_truong
04/30/2019,14.26,%,Tang_truong
03/31/2019,9.46,%,Tang_truong
02/28/2019,4.98,%,Tang_truong
01/31/2019,10.92,%,Tang_truong
12/31/2018,5.01,%,Tang_truong
11/30/2018,7.66,%,Tang_truong
10/31/2018,11.03,%,Tang_truong
09/30/2018,17.59,%,Tang_truong
08/31/2018,24.24,%,Tang_truong
07/31/2018,7.67,%,Tang_truong
06/30/2018,14.65,%,Tang_truong
05/31/2018,24.62,%,Tang_truong
04/30/2018,19.36,%,Tang_truong
03/31/2018,25.21,%,Tang_truong
02/28/2018,33.56,%,Tang_truong
01/31/2018,19.38,%,Tang_truong
12/31/2017,42,%,Tang_truong
11/30/2017,42.25,%,Tang_truong
10/31/2017,26.55,%,Tang_truong
09/30/2017,26.22,%,Tang_truong
08/31/2017,20.05,%,Tang_truong
07/31/2017,36.62,%,Tang_truong
06/30/2017,22.52,%,Tang_truong
05/31/2017,35.55,%,Tang_truong
04/30/2017,28.47,%,Tang_truong
03/31/2017,35.74,%,Tang_truong
02/28/2017,22.58,%,Tang_truong
01/31/2017,43.88,%,Tang_truong
12/31/2016,25.1,%,Tang_truong
11/30/2016,17.94,%,Tang_truong
10/31/2016,26.46,%,Tang_truong
09/30/2016,25.1,%,Tang_truong
08/31/2016,29.81,%,Tang_truong
07/31/2016,35.29,%,Tang_truong
06/30/2016,42.57,%,Tang_truong
05/31/2016,32.3,%,Tang_truong
04/30/2016,31.25,%,Tang_truong
03/31/2016,14.35,%,Tang_truong
02/29/2016,32.79,%,Tang_truong
01/31/2016,10.26,%,Tang_truong
12/31/2015,14.9,%,Tang_truong
11/30/2015,15.75,%,Tang_truong
10/31/2015,20.39,%,Tang_truong
09/30/2015,16.12,%,Tang_truong
08/31/2015,5.99,%,Tang_truong
07/31/2015,7.5,%,Tang_truong
06/30/2015,5.12,%,Tang_truong
05/31/2015,-1.93,%,Tang_truong
04/30/2015,,%,Tang_truong
03/31/2015,,%,Tang_truong
02/28/2015,,%,Tang_truong
01/31/2015,,%,Tang_truong
12/31/2014,,%,Tang_truong
11/30/2014,,%,Tang_truong
10/31/2014,,%,Tang_truong
09/30/2014,,%,Tang_truong
08/31/2014,,%,Tang_truong
07/31/2014,,%,Tang_truong
06/30/2014,,%,Tang_truong
05/31/2014,,%,Tang_truong
