date,price,unit,title
05/31/2023,1.35,%,Tang_truong
02/28/2023,2.02,%,Tang_truong
11/30/2022,2.74,%,Tang_truong
08/31/2022,5.71,%,Tang_truong
05/31/2022,1.09,%,Tang_truong
02/28/2022,0.31,%,Tang_truong
11/30/2021,-7.99,%,Tang_truong
08/31/2021,-10.1,%,Tang_truong
05/31/2021,-3.92,%,Tang_truong
02/28/2021,-7.79,%,Tang_truong
11/30/2020,-1.54,%,Tang_truong
08/31/2020,-2.03,%,Tang_truong
05/31/2020,-4.25,%,Tang_truong
02/29/2020,-0.26,%,Tang_truong
11/30/2019,0.66,%,Tang_truong
08/31/2019,0.55,%,Tang_truong
05/31/2019,0.7,%,Tang_truong
02/28/2019,0.68,%,Tang_truong
11/30/2018,0.86,%,Tang_truong
08/31/2018,0.96,%,Tang_truong
05/31/2018,1.1,%,Tang_truong
02/28/2018,1.09,%,Tang_truong
11/30/2017,1.11,%,Tang_truong
08/31/2017,0.81,%,Tang_truong
05/31/2017,0.3,%,Tang_truong
02/28/2017,0.18,%,Tang_truong
11/30/2016,-0.06,%,Tang_truong
08/31/2016,0.21,%,Tang_truong
05/31/2016,1.22,%,Tang_truong
02/29/2016,1.42,%,Tang_truong
11/30/2015,0.3,%,Tang_truong
08/31/2015,0.02,%,Tang_truong
05/31/2015,-0.01,%,Tang_truong
02/28/2015,0.12,%,Tang_truong
11/30/2014,1.35,%,Tang_truong
08/31/2014,0.84,%,Tang_truong
05/31/2014,0.51,%,Tang_truong
02/28/2014,1.12,%,Tang_truong
11/30/2013,1.73,%,Tang_truong
08/31/2013,1.43,%,Tang_truong
05/31/2013,1.64,%,Tang_truong
02/28/2013,1.94,%,Tang_truong
11/30/2012,,%,Tang_truong
08/31/2012,,%,Tang_truong
05/31/2012,,%,Tang_truong
02/29/2012,,%,Tang_truong
11/30/2011,,%,Tang_truong
08/31/2011,,%,Tang_truong
05/31/2011,,%,Tang_truong
02/28/2011,,%,Tang_truong
