date,price,unit,title
05/31/2023,52323.5,nghin nguoi,Tong_lao_dong
02/28/2023,52216.4,nghin nguoi,Tong_lao_dong
11/30/2022,52127.7,nghin nguoi,Tong_lao_dong
08/31/2022,51870.1,nghin nguoi,Tong_lao_dong
05/31/2022,51625.3,nghin nguoi,Tong_lao_dong
02/28/2022,51180.6,nghin nguoi,Tong_lao_dong
11/30/2021,50739.5,nghin nguoi,Tong_lao_dong
08/31/2021,49068.6,nghin nguoi,Tong_lao_dong
05/31/2021,51066.4,nghin nguoi,Tong_lao_dong
02/28/2021,51021.7,nghin nguoi,Tong_lao_dong
11/30/2020,55144.2,nghin nguoi,Tong_lao_dong
08/31/2020,54580.4,nghin nguoi,Tong_lao_dong
05/31/2020,53147.4,nghin nguoi,Tong_lao_dong
02/29/2020,55331.5,nghin nguoi,Tong_lao_dong
11/30/2019,56004.6,nghin nguoi,Tong_lao_dong
08/31/2019,55714.1,nghin nguoi,Tong_lao_dong
05/31/2019,55506.3,nghin nguoi,Tong_lao_dong
02/28/2019,55475.7,nghin nguoi,Tong_lao_dong
11/30/2018,55638.2,nghin nguoi,Tong_lao_dong
08/31/2018,55406.7,nghin nguoi,Tong_lao_dong
05/31/2018,55122.8,nghin nguoi,Tong_lao_dong
02/28/2018,55099.3,nghin nguoi,Tong_lao_dong
11/30/2017,55162.7,nghin nguoi,Tong_lao_dong
08/31/2017,54878.7,nghin nguoi,Tong_lao_dong
05/31/2017,54523.7,nghin nguoi,Tong_lao_dong
02/28/2017,54505.1,nghin nguoi,Tong_lao_dong
11/30/2016,54557.9,nghin nguoi,Tong_lao_dong
08/31/2016,54435.1,nghin nguoi,Tong_lao_dong
05/31/2016,54361.5,nghin nguoi,Tong_lao_dong
02/29/2016,54404.9,nghin nguoi,Tong_lao_dong
11/30/2015,54590.7,nghin nguoi,Tong_lao_dong
08/31/2015,54319.3,nghin nguoi,Tong_lao_dong
05/31/2015,53707.4,nghin nguoi,Tong_lao_dong
02/28/2015,53643.9,nghin nguoi,Tong_lao_dong
11/30/2014,54426.5,nghin nguoi,Tong_lao_dong
08/31/2014,54307.2,nghin nguoi,Tong_lao_dong
05/31/2014,53714.5,nghin nguoi,Tong_lao_dong
02/28/2014,53580.9,nghin nguoi,Tong_lao_dong
11/30/2013,53698.9,nghin nguoi,Tong_lao_dong
08/31/2013,53855.9,nghin nguoi,Tong_lao_dong
05/31/2013,53441.6,nghin nguoi,Tong_lao_dong
02/28/2013,52988.7,nghin nguoi,Tong_lao_dong
11/30/2012,52788.2,nghin nguoi,Tong_lao_dong
08/31/2012,53098.5,nghin nguoi,Tong_lao_dong
05/31/2012,52581.3,nghin nguoi,Tong_lao_dong
02/29/2012,51978.4,nghin nguoi,Tong_lao_dong
11/30/2011,,nghin nguoi,Tong_lao_dong
08/31/2011,,nghin nguoi,Tong_lao_dong
05/31/2011,,nghin nguoi,Tong_lao_dong
02/28/2011,,nghin nguoi,Tong_lao_dong
