date,price,unit,title
06/30/2023,3.69,%,San_xuat_cong_nghiep
05/31/2023,0.93,%,San_xuat_cong_nghiep
04/30/2023,-0.43,%,San_xuat_cong_nghiep
03/31/2023,-2.4,%,San_xuat_cong_nghiep
02/28/2023,-1.63,%,San_xuat_cong_nghiep
01/31/2023,0.39,%,San_xuat_cong_nghiep
12/31/2022,-16.27,%,San_xuat_cong_nghiep
11/30/2022,-1.81,%,San_xuat_cong_nghiep
10/31/2022,1.98,%,San_xuat_cong_nghiep
09/30/2022,5.54,%,San_xuat_cong_nghiep
08/31/2022,9.02,%,San_xuat_cong_nghiep
07/31/2022,13.31,%,San_xuat_cong_nghiep
06/30/2022,-7.05,%,San_xuat_cong_nghiep
05/31/2022,-8.34,%,San_xuat_cong_nghiep
04/30/2022,-7.95,%,San_xuat_cong_nghiep
03/31/2022,-4.34,%,San_xuat_cong_nghiep
02/28/2022,-7.75,%,San_xuat_cong_nghiep
01/31/2022,2.71,%,San_xuat_cong_nghiep
12/31/2021,-0.91,%,San_xuat_cong_nghiep
11/30/2021,12.4,%,San_xuat_cong_nghiep
10/31/2021,13.4,%,San_xuat_cong_nghiep
09/30/2021,8.46,%,San_xuat_cong_nghiep
08/31/2021,2.98,%,San_xuat_cong_nghiep
07/31/2021,3.96,%,San_xuat_cong_nghiep
06/30/2021,9.91,%,San_xuat_cong_nghiep
05/31/2021,15.52,%,San_xuat_cong_nghiep
04/30/2021,22.53,%,San_xuat_cong_nghiep
03/31/2021,31.84,%,San_xuat_cong_nghiep
02/28/2021,15.61,%,San_xuat_cong_nghiep
01/31/2021,-1.27,%,San_xuat_cong_nghiep
12/31/2020,22.92,%,San_xuat_cong_nghiep
11/30/2020,3.32,%,San_xuat_cong_nghiep
10/31/2020,-0.02,%,San_xuat_cong_nghiep
09/30/2020,-0.65,%,San_xuat_cong_nghiep
08/31/2020,2.1,%,San_xuat_cong_nghiep
07/31/2020,-0.16,%,San_xuat_cong_nghiep
06/30/2020,1.8,%,San_xuat_cong_nghiep
05/31/2020,7.25,%,San_xuat_cong_nghiep
04/30/2020,-0.4,%,San_xuat_cong_nghiep
03/31/2020,-9.4,%,San_xuat_cong_nghiep
02/29/2020,4.9,%,San_xuat_cong_nghiep
01/31/2020,22.3,%,San_xuat_cong_nghiep
12/31/2019,-8,%,San_xuat_cong_nghiep
11/30/2019,6.2,%,San_xuat_cong_nghiep
10/31/2019,5.5,%,San_xuat_cong_nghiep
09/30/2019,9.8,%,San_xuat_cong_nghiep
08/31/2019,9.9,%,San_xuat_cong_nghiep
07/31/2019,10.5,%,San_xuat_cong_nghiep
06/30/2019,9.8,%,San_xuat_cong_nghiep
05/31/2019,9,%,San_xuat_cong_nghiep
04/30/2019,10.2,%,San_xuat_cong_nghiep
03/31/2019,9.3,%,San_xuat_cong_nghiep
02/28/2019,9.2,%,San_xuat_cong_nghiep
01/31/2019,10.1,%,San_xuat_cong_nghiep
12/31/2018,8.1,%,San_xuat_cong_nghiep
11/30/2018,11.4,%,San_xuat_cong_nghiep
10/31/2018,9.6,%,San_xuat_cong_nghiep
09/30/2018,7.7,%,San_xuat_cong_nghiep
08/31/2018,9.1,%,San_xuat_cong_nghiep
07/31/2018,13.4,%,San_xuat_cong_nghiep
06/30/2018,14.3,%,San_xuat_cong_nghiep
05/31/2018,12.3,%,San_xuat_cong_nghiep
04/30/2018,7.1,%,San_xuat_cong_nghiep
03/31/2018,9.4,%,San_xuat_cong_nghiep
02/28/2018,8.7,%,San_xuat_cong_nghiep
01/31/2018,8,%,San_xuat_cong_nghiep
12/31/2017,20.9,%,San_xuat_cong_nghiep
11/30/2017,11.2,%,San_xuat_cong_nghiep
10/31/2017,17.2,%,San_xuat_cong_nghiep
09/30/2017,17,%,San_xuat_cong_nghiep
08/31/2017,13.2,%,San_xuat_cong_nghiep
07/31/2017,8.4,%,San_xuat_cong_nghiep
06/30/2017,8.1,%,San_xuat_cong_nghiep
05/31/2017,8.6,%,San_xuat_cong_nghiep
04/30/2017,7.2,%,San_xuat_cong_nghiep
03/31/2017,7.4,%,San_xuat_cong_nghiep
02/28/2017,5.5,%,San_xuat_cong_nghiep
01/31/2017,15.2,%,San_xuat_cong_nghiep
12/31/2016,-7.5,%,San_xuat_cong_nghiep
11/30/2016,7.7,%,San_xuat_cong_nghiep
10/31/2016,7.2,%,San_xuat_cong_nghiep
09/30/2016,7,%,San_xuat_cong_nghiep
08/31/2016,7.6,%,San_xuat_cong_nghiep
07/31/2016,7.3,%,San_xuat_cong_nghiep
06/30/2016,7.2,%,San_xuat_cong_nghiep
05/31/2016,7.4,%,San_xuat_cong_nghiep
04/30/2016,7.8,%,San_xuat_cong_nghiep
03/31/2016,7.9,%,San_xuat_cong_nghiep
02/29/2016,6.2,%,San_xuat_cong_nghiep
01/31/2016,7.9,%,San_xuat_cong_nghiep
12/31/2015,5.9,%,San_xuat_cong_nghiep
11/30/2015,9,%,San_xuat_cong_nghiep
10/31/2015,8.9,%,San_xuat_cong_nghiep
09/30/2015,8.8,%,San_xuat_cong_nghiep
08/31/2015,10.1,%,San_xuat_cong_nghiep
07/31/2015,9,%,San_xuat_cong_nghiep
06/30/2015,11.3,%,San_xuat_cong_nghiep
05/31/2015,11.1,%,San_xuat_cong_nghiep
04/30/2015,7.5,%,San_xuat_cong_nghiep
03/31/2015,9.5,%,San_xuat_cong_nghiep
02/28/2015,9.1,%,San_xuat_cong_nghiep
01/31/2015,7,%,San_xuat_cong_nghiep
12/31/2014,17.5,%,San_xuat_cong_nghiep
11/30/2014,,%,San_xuat_cong_nghiep
