date,price,unit,title
05/31/2023,1407472.98,ty VND,GPD_theo_gia_so_sanh
02/28/2023,1320198.97,ty VND,GPD_theo_gia_so_sanh
11/30/2022,1538951.34,ty VND,GPD_theo_gia_so_sanh
08/31/2022,1376896.13,ty VND,GPD_theo_gia_so_sanh
05/31/2022,1351540.57,ty VND,GPD_theo_gia_so_sanh
02/28/2022,1278327.89,ty VND,GPD_theo_gia_so_sanh
11/30/2021,1452949.84,ty VND,GPD_theo_gia_so_sanh
08/31/2021,1210836.74,ty VND,GPD_theo_gia_so_sanh
05/31/2021,1253415.87,ty VND,GPD_theo_gia_so_sanh
02/28/2021,1195173.29,ty VND,GPD_theo_gia_so_sanh
11/30/2020,1380846.61,ty VND,GPD_theo_gia_so_sanh
08/31/2020,1288463.78,ty VND,GPD_theo_gia_so_sanh
05/31/2020,1176135.62,ty VND,GPD_theo_gia_so_sanh
02/29/2020,1142062.4,ty VND,GPD_theo_gia_so_sanh
11/30/2019,1321695.87,ty VND,GPD_theo_gia_so_sanh
08/31/2019,1254703.7,ty VND,GPD_theo_gia_so_sanh
05/31/2019,1171597.14,ty VND,GPD_theo_gia_so_sanh
02/28/2019,1101503.82,ty VND,GPD_theo_gia_so_sanh
11/30/2018,1235594.33,ty VND,GPD_theo_gia_so_sanh
08/31/2018,1167343.54,ty VND,GPD_theo_gia_so_sanh
05/31/2018,1097684.32,ty VND,GPD_theo_gia_so_sanh
02/28/2018,1031162.01,ty VND,GPD_theo_gia_so_sanh
11/30/2017,1151385.72,ty VND,GPD_theo_gia_so_sanh
08/31/2017,1092782.65,ty VND,GPD_theo_gia_so_sanh
05/31/2017,1028438.79,ty VND,GPD_theo_gia_so_sanh
02/28/2017,960308.46,ty VND,GPD_theo_gia_so_sanh
11/30/2016,1067175.03,ty VND,GPD_theo_gia_so_sanh
08/31/2016,1014779.7,ty VND,GPD_theo_gia_so_sanh
05/31/2016,967309.77,ty VND,GPD_theo_gia_so_sanh
02/29/2016,913685.24,ty VND,GPD_theo_gia_so_sanh
11/30/2015,997543.83,ty VND,GPD_theo_gia_so_sanh
08/31/2015,951097.68,ty VND,GPD_theo_gia_so_sanh
05/31/2015,916183.99,ty VND,GPD_theo_gia_so_sanh
02/28/2015,866385.72,ty VND,GPD_theo_gia_so_sanh
11/30/2014,930788.37,ty VND,GPD_theo_gia_so_sanh
08/31/2014,889575.1,ty VND,GPD_theo_gia_so_sanh
05/31/2014,860103.52,ty VND,GPD_theo_gia_so_sanh
02/28/2014,817129.02,ty VND,GPD_theo_gia_so_sanh
11/30/2013,869899.6,ty VND,GPD_theo_gia_so_sanh
08/31/2013,835599.23,ty VND,GPD_theo_gia_so_sanh
05/31/2013,816117.5,ty VND,GPD_theo_gia_so_sanh
02/28/2013,778512.05,ty VND,GPD_theo_gia_so_sanh
11/30/2012,818895.97,ty VND,GPD_theo_gia_so_sanh
08/31/2012,791326.63,ty VND,GPD_theo_gia_so_sanh
05/31/2012,777947.07,ty VND,GPD_theo_gia_so_sanh
02/29/2012,742247.14,ty VND,GPD_theo_gia_so_sanh
11/30/2011,773510.83,ty VND,GPD_theo_gia_so_sanh
08/31/2011,750684.29,ty VND,GPD_theo_gia_so_sanh
05/31/2011,742656.89,ty VND,GPD_theo_gia_so_sanh
02/28/2011,713705.51,ty VND,GPD_theo_gia_so_sanh
11/30/2010,728113.1,ty VND,GPD_theo_gia_so_sanh
08/31/2010,707244.67,ty VND,GPD_theo_gia_so_sanh
05/31/2010,702585.5,ty VND,GPD_theo_gia_so_sanh
02/28/2010,676947.27,ty VND,GPD_theo_gia_so_sanh
