date,price,unit,title
05/31/2023,4.14,%,Tang_truong_GDP
02/28/2023,3.28,%,Tang_truong_GDP
11/30/2022,5.92,%,Tang_truong_GDP
08/31/2022,13.71,%,Tang_truong_GDP
05/31/2022,7.83,%,Tang_truong_GDP
02/28/2022,6.96,%,Tang_truong_GDP
11/30/2021,5.22,%,Tang_truong_GDP
08/31/2021,-6.02,%,Tang_truong_GDP
05/31/2021,6.57,%,Tang_truong_GDP
02/28/2021,4.65,%,Tang_truong_GDP
11/30/2020,4.48,%,Tang_truong_GDP
08/31/2020,2.69,%,Tang_truong_GDP
05/31/2020,0.39,%,Tang_truong_GDP
02/29/2020,3.68,%,Tang_truong_GDP
11/30/2019,6.97,%,Tang_truong_GDP
08/31/2019,7.48,%,Tang_truong_GDP
05/31/2019,6.73,%,Tang_truong_GDP
02/28/2019,6.82,%,Tang_truong_GDP
11/30/2018,7.31,%,Tang_truong_GDP
08/31/2018,6.82,%,Tang_truong_GDP
05/31/2018,6.73,%,Tang_truong_GDP
02/28/2018,7.38,%,Tang_truong_GDP
11/30/2017,7.89,%,Tang_truong_GDP
08/31/2017,7.69,%,Tang_truong_GDP
05/31/2017,6.32,%,Tang_truong_GDP
02/28/2017,5.1,%,Tang_truong_GDP
11/30/2016,6.98,%,Tang_truong_GDP
08/31/2016,6.7,%,Tang_truong_GDP
05/31/2016,5.58,%,Tang_truong_GDP
02/29/2016,5.46,%,Tang_truong_GDP
11/30/2015,7.17,%,Tang_truong_GDP
08/31/2015,6.92,%,Tang_truong_GDP
05/31/2015,6.52,%,Tang_truong_GDP
02/28/2015,6.03,%,Tang_truong_GDP
11/30/2014,7,%,Tang_truong_GDP
08/31/2014,6.46,%,Tang_truong_GDP
05/31/2014,5.39,%,Tang_truong_GDP
02/28/2014,4.96,%,Tang_truong_GDP
11/30/2013,6.23,%,Tang_truong_GDP
08/31/2013,5.59,%,Tang_truong_GDP
05/31/2013,4.91,%,Tang_truong_GDP
02/28/2013,4.89,%,Tang_truong_GDP
11/30/2012,5.87,%,Tang_truong_GDP
08/31/2012,5.41,%,Tang_truong_GDP
05/31/2012,4.75,%,Tang_truong_GDP
02/29/2012,4,%,Tang_truong_GDP
11/30/2011,6.23,%,Tang_truong_GDP
08/31/2011,6.14,%,Tang_truong_GDP
05/31/2011,5.7,%,Tang_truong_GDP
02/28/2011,5.43,%,Tang_truong_GDP
11/30/2010,,%,Tang_truong_GDP
08/31/2010,,%,Tang_truong_GDP
05/31/2010,,%,Tang_truong_GDP
02/28/2010,,%,Tang_truong_GDP
