date,price,unit,title
06/30/2023,7.11,%,Tang_truong
05/31/2023,6.71,%,Tang_truong
04/30/2023,8.11,%,Tang_truong
03/31/2023,11.69,%,Tang_truong
02/28/2023,11.47,%,Tang_truong
01/31/2023,15.46,%,Tang_truong
12/31/2022,12.8,%,Tang_truong
11/30/2022,17.54,%,Tang_truong
10/31/2022,13.69,%,Tang_truong
09/30/2022,20.71,%,Tang_truong
08/31/2022,32.33,%,Tang_truong
07/31/2022,49.53,%,Tang_truong
06/30/2022,40.33,%,Tang_truong
05/31/2022,28.08,%,Tang_truong
04/30/2022,19.48,%,Tang_truong
03/31/2022,12.71,%,Tang_truong
02/28/2022,10.43,%,Tang_truong
01/31/2022,4.06,%,Tang_truong
12/31/2021,-2.28,%,Tang_truong
11/30/2021,-4.89,%,Tang_truong
10/31/2021,-5.22,%,Tang_truong
09/30/2021,-8.51,%,Tang_truong
08/31/2021,-17.69,%,Tang_truong
07/31/2021,-25.47,%,Tang_truong
06/30/2021,-21.58,%,Tang_truong
05/31/2021,-11.34,%,Tang_truong
04/30/2021,-4.07,%,Tang_truong
03/31/2021,33.98,%,Tang_truong
02/28/2021,8.21,%,Tang_truong
01/31/2021,0.69,%,Tang_truong
12/31/2020,3.34,%,Tang_truong
11/30/2020,7.1,%,Tang_truong
10/31/2020,7.7,%,Tang_truong
09/30/2020,7.46,%,Tang_truong
08/31/2020,4.96,%,Tang_truong
07/31/2020,4.01,%,Tang_truong
06/30/2020,4.67,%,Tang_truong
05/31/2020,2,%,Tang_truong
04/30/2020,0.53,%,Tang_truong
03/31/2020,-24.18,%,Tang_truong
02/29/2020,-5.7,%,Tang_truong
01/31/2020,3.99,%,Tang_truong
12/31/2019,11.82,%,Tang_truong
11/30/2019,9.59,%,Tang_truong
10/31/2019,10.96,%,Tang_truong
09/30/2019,10.85,%,Tang_truong
08/31/2019,12.16,%,Tang_truong
07/31/2019,11.7,%,Tang_truong
06/30/2019,11.75,%,Tang_truong
05/31/2019,12.41,%,Tang_truong
04/30/2019,14.06,%,Tang_truong
03/31/2019,14.1,%,Tang_truong
02/28/2019,14.08,%,Tang_truong
01/31/2019,11.52,%,Tang_truong
12/31/2018,11.4,%,Tang_truong
11/30/2018,11.96,%,Tang_truong
10/31/2018,12.07,%,Tang_truong
09/30/2018,11.75,%,Tang_truong
08/31/2018,11.07,%,Tang_truong
07/31/2018,12.12,%,Tang_truong
06/30/2018,13.38,%,Tang_truong
05/31/2018,11.61,%,Tang_truong
04/30/2018,9.43,%,Tang_truong
03/31/2018,10.41,%,Tang_truong
02/28/2018,10.03,%,Tang_truong
01/31/2018,13.31,%,Tang_truong
12/31/2017,9.32,%,Tang_truong
11/30/2017,10.01,%,Tang_truong
10/31/2017,13.83,%,Tang_truong
09/30/2017,15.42,%,Tang_truong
08/31/2017,13.65,%,Tang_truong
07/31/2017,12.7,%,Tang_truong
06/30/2017,10.79,%,Tang_truong
05/31/2017,10.41,%,Tang_truong
04/30/2017,13.06,%,Tang_truong
03/31/2017,13.47,%,Tang_truong
02/28/2017,13.44,%,Tang_truong
01/31/2017,7.4,%,Tang_truong
12/31/2016,10.94,%,Tang_truong
11/30/2016,8.67,%,Tang_truong
10/31/2016,7.4,%,Tang_truong
09/30/2016,7.5,%,Tang_truong
08/31/2016,9.45,%,Tang_truong
07/31/2016,7.78,%,Tang_truong
06/30/2016,8.79,%,Tang_truong
05/31/2016,10.93,%,Tang_truong
04/30/2016,9.83,%,Tang_truong
03/31/2016,9.46,%,Tang_truong
02/29/2016,8.66,%,Tang_truong
01/31/2016,4.25,%,Tang_truong
12/31/2015,8.09,%,Tang_truong
11/30/2015,7.85,%,Tang_truong
10/31/2015,6.42,%,Tang_truong
09/30/2015,9.38,%,Tang_truong
08/31/2015,10.66,%,Tang_truong
07/31/2015,12.13,%,Tang_truong
06/30/2015,13.86,%,Tang_truong
05/31/2015,7.25,%,Tang_truong
04/30/2015,8.43,%,Tang_truong
03/31/2015,7.1,%,Tang_truong
02/28/2015,8.76,%,Tang_truong
