date,price,unit,title
06/30/2023,512167.49,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2023,506479.74,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2023,503058.65,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2023,511507.49,ty VND,Tong_muc_ban_le_HH_va_DV
02/28/2023,492605.78,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2023,491620.86,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2022,512320.51,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2022,517660.1,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2022,497623.79,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2022,501158.47,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2022,479375.03,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2022,479124.74,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2022,478150.78,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2022,474620.22,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2022,465329.97,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2022,457964.3,ty VND,Tong_muc_ban_le_HH_va_DV
02/28/2022,441928.23,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2022,425810.83,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2021,454200.8,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2021,440400.15,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2021,437691.66,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2021,415174.03,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2021,362261.42,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2021,320410.01,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2021,340725.31,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2021,370575.68,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2021,389467,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2021,406313.1,ty VND,Tong_muc_ban_le_HH_va_DV
02/28/2021,400203,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2021,409186.48,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2020,464817.22,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2020,463043,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2020,461785,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2020,453804,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2020,440127,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2020,429885,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2020,434502,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2020,417968,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2020,405983,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2020,303258,ty VND,Tong_muc_ban_le_HH_va_DV
02/29/2020,369827,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2020,406401,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2019,449784,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2019,432366,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2019,428782,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2019,422285,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2019,419330,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2019,413308,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2019,415113,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2019,409775,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2019,403827,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2019,399961,ty VND,Tong_muc_ban_le_HH_va_DV
02/28/2019,392190,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2019,390821,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2018,402230,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2018,394526,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2018,386436,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2018,380940,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2018,373853,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2018,370026,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2018,371451,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2018,364534,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2018,354049,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2018,350541,ty VND,Tong_muc_ban_le_HH_va_DV
02/28/2018,343786,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2018,350441,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2017,361073,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2017,352368,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2017,344809,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2017,340890,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2017,336585,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2017,330013,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2017,327602,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2017,326625,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2017,323540,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2017,317503,ty VND,Tong_muc_ban_le_HH_va_DV
02/28/2017,312460,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2017,309284,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2016,330297,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2016,320312,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2016,302924,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2016,295350,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2016,296150,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2016,292821,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2016,295691,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2016,295823,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2016,286157,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2016,279807,ty VND,Tong_muc_ban_le_HH_va_DV
02/29/2016,275435,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2016,287962,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2015,297730,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2015,294748,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2015,282056,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2015,274753,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2015,270588,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2015,271680,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2015,271808,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2015,266676,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2015,260539,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2015,255618,ty VND,Tong_muc_ban_le_HH_va_DV
02/28/2015,253490,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2015,276225,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2014,275454,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2014,273292,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2014,265033,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2014,251195,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2014,244529,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2014,242296,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2014,238731,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2014,248649,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2014,240273,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2014,238664,ty VND,Tong_muc_ban_le_HH_va_DV
02/28/2014,233080,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2014,234308,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2013,237493,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2013,231117,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2013,226396,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2013,225668,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2013,223288,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2013,216397,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2013,213303,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2013,212247,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2013,215507,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2013,213409,ty VND,Tong_muc_ban_le_HH_va_DV
02/28/2013,211301,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2013,210017,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2012,209526,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2012,204607,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2012,201577,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2012,200925,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2012,195105,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2012,190322,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2012,189187,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2012,188011,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2012,191800,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2012,192432,ty VND,Tong_muc_ban_le_HH_va_DV
02/29/2012,189056,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2012,186463,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2011,193817,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2011,185145,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2011,176378,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2011,167546,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2011,164416,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2011,157343,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2011,154367,ty VND,Tong_muc_ban_le_HH_va_DV
05/31/2011,153596,ty VND,Tong_muc_ban_le_HH_va_DV
04/30/2011,156011,ty VND,Tong_muc_ban_le_HH_va_DV
03/31/2011,154871,ty VND,Tong_muc_ban_le_HH_va_DV
02/28/2011,150233,ty VND,Tong_muc_ban_le_HH_va_DV
01/31/2011,146994,ty VND,Tong_muc_ban_le_HH_va_DV
12/31/2010,154607,ty VND,Tong_muc_ban_le_HH_va_DV
11/30/2010,141593,ty VND,Tong_muc_ban_le_HH_va_DV
10/31/2010,141046,ty VND,Tong_muc_ban_le_HH_va_DV
09/30/2010,133215,ty VND,Tong_muc_ban_le_HH_va_DV
08/31/2010,134477,ty VND,Tong_muc_ban_le_HH_va_DV
07/31/2010,131039,ty VND,Tong_muc_ban_le_HH_va_DV
06/30/2010,132220,ty VND,Tong_muc_ban_le_HH_va_DV
