date,price,unit,title
05/31/2023,2.3,%,Ty_le_that_nghiep
02/28/2023,2.25,%,Ty_le_that_nghiep
11/30/2022,2.32,%,Ty_le_that_nghiep
08/31/2022,2.28,%,Ty_le_that_nghiep
05/31/2022,2.32,%,Ty_le_that_nghiep
02/28/2022,2.46,%,Ty_le_that_nghiep
11/30/2021,3.56,%,Ty_le_that_nghiep
08/31/2021,3.98,%,Ty_le_that_nghiep
05/31/2021,2.62,%,Ty_le_that_nghiep
02/28/2021,2.42,%,Ty_le_that_nghiep
11/30/2020,2.37,%,Ty_le_that_nghiep
08/31/2020,2.5,%,Ty_le_that_nghiep
05/31/2020,2.73,%,Ty_le_that_nghiep
02/29/2020,2.22,%,Ty_le_that_nghiep
11/30/2019,2.15,%,Ty_le_that_nghiep
08/31/2019,2.17,%,Ty_le_that_nghiep
05/31/2019,2.16,%,Ty_le_that_nghiep
02/28/2019,2.17,%,Ty_le_that_nghiep
11/30/2018,2.18,%,Ty_le_that_nghiep
08/31/2018,2.2,%,Ty_le_that_nghiep
05/31/2018,2.19,%,Ty_le_that_nghiep
02/28/2018,2.2,%,Ty_le_that_nghiep
11/30/2017,2.21,%,Ty_le_that_nghiep
08/31/2017,2.23,%,Ty_le_that_nghiep
05/31/2017,2.26,%,Ty_le_that_nghiep
02/28/2017,2.3,%,Ty_le_that_nghiep
11/30/2016,2.31,%,Ty_le_that_nghiep
08/31/2016,2.34,%,Ty_le_that_nghiep
05/31/2016,2.29,%,Ty_le_that_nghiep
02/29/2016,2.25,%,Ty_le_that_nghiep
11/30/2015,2.12,%,Ty_le_that_nghiep
08/31/2015,2.35,%,Ty_le_that_nghiep
05/31/2015,2.42,%,Ty_le_that_nghiep
02/28/2015,2.43,%,Ty_le_that_nghiep
