date,price,unit,title
07/06/2023,191167.34,nghin tan,Van_chuyen_Hang_hoa
05/31/2023,189833.35,nghin tan,Van_chuyen_Hang_hoa
04/30/2023,184977.53,nghin tan,Van_chuyen_Hang_hoa
03/31/2023,189129.83,nghin tan,Van_chuyen_Hang_hoa
02/28/2023,183600.78,nghin tan,Van_chuyen_Hang_hoa
01/31/2023,181124.82,nghin tan,Van_chuyen_Hang_hoa
12/31/2022,183787.56,nghin tan,Van_chuyen_Hang_hoa
11/30/2022,192393.65,nghin tan,Van_chuyen_Hang_hoa
10/31/2022,176350.93,nghin tan,Van_chuyen_Hang_hoa
09/30/2022,178601.03,nghin tan,Van_chuyen_Hang_hoa
08/31/2022,170960.83,nghin tan,Van_chuyen_Hang_hoa
07/31/2022,179796.3,nghin tan,Van_chuyen_Hang_hoa
06/30/2022,174077.48,nghin tan,Van_chuyen_Hang_hoa
05/31/2022,168063.23,nghin tan,Van_chuyen_Hang_hoa
04/30/2022,159750.44,nghin tan,Van_chuyen_Hang_hoa
03/31/2022,155827.92,nghin tan,Van_chuyen_Hang_hoa
02/28/2022,149080.37,nghin tan,Van_chuyen_Hang_hoa
01/31/2022,149457.91,nghin tan,Van_chuyen_Hang_hoa
12/31/2021,174441.2,nghin tan,Van_chuyen_Hang_hoa
11/30/2021,153399.3,nghin tan,Van_chuyen_Hang_hoa
10/31/2021,141790.15,nghin tan,Van_chuyen_Hang_hoa
09/30/2021,129702.15,nghin tan,Van_chuyen_Hang_hoa
08/31/2021,119367.51,nghin tan,Van_chuyen_Hang_hoa
07/31/2021,108367.87,nghin tan,Van_chuyen_Hang_hoa
06/30/2021,96276.46,nghin tan,Van_chuyen_Hang_hoa
05/31/2021,153755.85,nghin tan,Van_chuyen_Hang_hoa
04/30/2021,139428.65,nghin tan,Van_chuyen_Hang_hoa
03/31/2021,153697,nghin tan,Van_chuyen_Hang_hoa
02/28/2021,153572,nghin tan,Van_chuyen_Hang_hoa
01/31/2021,150173,nghin tan,Van_chuyen_Hang_hoa
12/31/2020,173258,nghin tan,Van_chuyen_Hang_hoa
11/30/2020,174628,nghin tan,Van_chuyen_Hang_hoa
10/31/2020,174551,nghin tan,Van_chuyen_Hang_hoa
09/30/2020,164019,nghin tan,Van_chuyen_Hang_hoa
08/31/2020,156764,nghin tan,Van_chuyen_Hang_hoa
07/31/2020,142389,nghin tan,Van_chuyen_Hang_hoa
06/30/2020,147224,nghin tan,Van_chuyen_Hang_hoa
05/31/2020,139183,nghin tan,Van_chuyen_Hang_hoa
04/30/2020,145020,nghin tan,Van_chuyen_Hang_hoa
03/31/2020,105700,nghin tan,Van_chuyen_Hang_hoa
02/29/2020,138206,nghin tan,Van_chuyen_Hang_hoa
01/31/2020,143362,nghin tan,Van_chuyen_Hang_hoa
12/31/2019,156601,nghin tan,Van_chuyen_Hang_hoa
11/30/2019,149943,nghin tan,Van_chuyen_Hang_hoa
10/31/2019,145299,nghin tan,Van_chuyen_Hang_hoa
09/30/2019,143160,nghin tan,Van_chuyen_Hang_hoa
08/31/2019,141814,nghin tan,Van_chuyen_Hang_hoa
07/31/2019,140121,nghin tan,Van_chuyen_Hang_hoa
06/30/2019,139575,nghin tan,Van_chuyen_Hang_hoa
05/31/2019,138199,nghin tan,Van_chuyen_Hang_hoa
04/30/2019,137176,nghin tan,Van_chuyen_Hang_hoa
03/31/2019,135455,nghin tan,Van_chuyen_Hang_hoa
02/28/2019,134298,nghin tan,Van_chuyen_Hang_hoa
01/31/2019,133531,nghin tan,Van_chuyen_Hang_hoa
12/31/2018,144366,nghin tan,Van_chuyen_Hang_hoa
11/30/2018,143054,nghin tan,Van_chuyen_Hang_hoa
10/31/2018,141319,nghin tan,Van_chuyen_Hang_hoa
09/30/2018,139595,nghin tan,Van_chuyen_Hang_hoa
08/31/2018,139700,nghin tan,Van_chuyen_Hang_hoa
07/31/2018,137484,nghin tan,Van_chuyen_Hang_hoa
06/30/2018,137353,nghin tan,Van_chuyen_Hang_hoa
05/31/2018,136285,nghin tan,Van_chuyen_Hang_hoa
04/30/2018,135024,nghin tan,Van_chuyen_Hang_hoa
03/31/2018,133390,nghin tan,Van_chuyen_Hang_hoa
02/28/2018,131499,nghin tan,Van_chuyen_Hang_hoa
01/31/2018,129387,nghin tan,Van_chuyen_Hang_hoa
12/31/2017,130650,nghin tan,Van_chuyen_Hang_hoa
11/30/2017,128156,nghin tan,Van_chuyen_Hang_hoa
10/31/2017,125288,nghin tan,Van_chuyen_Hang_hoa
09/30/2017,123279,nghin tan,Van_chuyen_Hang_hoa
08/31/2017,121369,nghin tan,Van_chuyen_Hang_hoa
07/31/2017,119775,nghin tan,Van_chuyen_Hang_hoa
06/30/2017,119807,nghin tan,Van_chuyen_Hang_hoa
05/31/2017,118993,nghin tan,Van_chuyen_Hang_hoa
04/30/2017,118462,nghin tan,Van_chuyen_Hang_hoa
03/31/2017,117691,nghin tan,Van_chuyen_Hang_hoa
02/28/2017,116179,nghin tan,Van_chuyen_Hang_hoa
01/31/2017,114999,nghin tan,Van_chuyen_Hang_hoa
12/31/2016,118895,nghin tan,Van_chuyen_Hang_hoa
11/30/2016,114903,nghin tan,Van_chuyen_Hang_hoa
10/31/2016,112457,nghin tan,Van_chuyen_Hang_hoa
09/30/2016,110410,nghin tan,Van_chuyen_Hang_hoa
08/31/2016,108371,nghin tan,Van_chuyen_Hang_hoa
07/31/2016,106473,nghin tan,Van_chuyen_Hang_hoa
06/30/2016,105737,nghin tan,Van_chuyen_Hang_hoa
05/31/2016,104586,nghin tan,Van_chuyen_Hang_hoa
04/30/2016,105859,nghin tan,Van_chuyen_Hang_hoa
03/31/2016,103084,nghin tan,Van_chuyen_Hang_hoa
02/29/2016,102358,nghin tan,Van_chuyen_Hang_hoa
01/31/2016,102756,nghin tan,Van_chuyen_Hang_hoa
12/31/2015,98362,nghin tan,Van_chuyen_Hang_hoa
11/30/2015,98293,nghin tan,Van_chuyen_Hang_hoa
10/31/2015,102012,nghin tan,Van_chuyen_Hang_hoa
09/30/2015,98532,nghin tan,Van_chuyen_Hang_hoa
08/31/2015,98748,nghin tan,Van_chuyen_Hang_hoa
07/31/2015,95314,nghin tan,Van_chuyen_Hang_hoa
06/30/2015,95241,nghin tan,Van_chuyen_Hang_hoa
05/31/2015,95038,nghin tan,Van_chuyen_Hang_hoa
04/30/2015,94590,nghin tan,Van_chuyen_Hang_hoa
03/31/2015,94611,nghin tan,Van_chuyen_Hang_hoa
02/28/2015,89051,nghin tan,Van_chuyen_Hang_hoa
01/31/2015,85994,nghin tan,Van_chuyen_Hang_hoa
12/31/2014,86524,nghin tan,Van_chuyen_Hang_hoa
