date,price,unit,title
07/06/2023,398495.42,nghin nguoi,Van_chuyen_Hanh_khach
05/31/2023,393316.69,nghin nguoi,Van_chuyen_Hanh_khach
04/30/2023,345518.9,nghin nguoi,Van_chuyen_Hanh_khach
03/31/2023,372798.66,nghin nguoi,Van_chuyen_Hanh_khach
02/28/2023,363889.61,nghin nguoi,Van_chuyen_Hanh_khach
01/31/2023,368819.36,nghin nguoi,Van_chuyen_Hanh_khach
12/31/2022,372295.82,nghin nguoi,Van_chuyen_Hanh_khach
11/30/2022,305341.78,nghin nguoi,Van_chuyen_Hanh_khach
10/31/2022,286741.87,nghin nguoi,Van_chuyen_Hanh_khach
09/30/2022,277526.99,nghin nguoi,Van_chuyen_Hanh_khach
08/31/2022,297871.52,nghin nguoi,Van_chuyen_Hanh_khach
07/31/2022,319745.79,nghin nguoi,Van_chuyen_Hanh_khach
06/30/2022,378560.61,nghin nguoi,Van_chuyen_Hanh_khach
05/31/2022,349303.32,nghin nguoi,Van_chuyen_Hanh_khach
04/30/2022,332687.09,nghin nguoi,Van_chuyen_Hanh_khach
03/31/2022,333392.53,nghin nguoi,Van_chuyen_Hanh_khach
02/28/2022,317322.83,nghin nguoi,Van_chuyen_Hanh_khach
01/31/2022,294031.33,nghin nguoi,Van_chuyen_Hanh_khach
12/31/2021,253738.11,nghin nguoi,Van_chuyen_Hanh_khach
11/30/2021,144508.83,nghin nguoi,Van_chuyen_Hanh_khach
10/31/2021,122075.28,nghin nguoi,Van_chuyen_Hanh_khach
09/30/2021,110763.02,nghin nguoi,Van_chuyen_Hanh_khach
08/31/2021,81980.81,nghin nguoi,Van_chuyen_Hanh_khach
07/31/2021,71871.3,nghin nguoi,Van_chuyen_Hanh_khach
06/30/2021,94859.58,nghin nguoi,Van_chuyen_Hanh_khach
05/31/2021,235462.95,nghin nguoi,Van_chuyen_Hanh_khach
04/30/2021,287757.96,nghin nguoi,Van_chuyen_Hanh_khach
03/31/2021,294493,nghin nguoi,Van_chuyen_Hanh_khach
02/28/2021,323822,nghin nguoi,Van_chuyen_Hanh_khach
01/31/2021,324350,nghin nguoi,Van_chuyen_Hanh_khach
12/31/2020,359781,nghin nguoi,Van_chuyen_Hanh_khach
11/30/2020,317585,nghin nguoi,Van_chuyen_Hanh_khach
10/31/2020,294817,nghin nguoi,Van_chuyen_Hanh_khach
09/30/2020,283748,nghin nguoi,Van_chuyen_Hanh_khach
08/31/2020,268691,nghin nguoi,Van_chuyen_Hanh_khach
07/31/2020,238028,nghin nguoi,Van_chuyen_Hanh_khach
06/30/2020,318228,nghin nguoi,Van_chuyen_Hanh_khach
05/31/2020,297401,nghin nguoi,Van_chuyen_Hanh_khach
04/30/2020,262697,nghin nguoi,Van_chuyen_Hanh_khach
03/31/2020,99802,nghin nguoi,Van_chuyen_Hanh_khach
02/29/2020,334414,nghin nguoi,Van_chuyen_Hanh_khach
01/31/2020,400145,nghin nguoi,Van_chuyen_Hanh_khach
12/31/2019,482726,nghin nguoi,Van_chuyen_Hanh_khach
11/30/2019,464825,nghin nguoi,Van_chuyen_Hanh_khach
10/31/2019,444844,nghin nguoi,Van_chuyen_Hanh_khach
09/30/2019,438884,nghin nguoi,Van_chuyen_Hanh_khach
08/31/2019,436642,nghin nguoi,Van_chuyen_Hanh_khach
07/31/2019,433388,nghin nguoi,Van_chuyen_Hanh_khach
06/30/2019,427449,nghin nguoi,Van_chuyen_Hanh_khach
05/31/2019,422169,nghin nguoi,Van_chuyen_Hanh_khach
04/30/2019,417409,nghin nguoi,Van_chuyen_Hanh_khach
03/31/2019,419082,nghin nguoi,Van_chuyen_Hanh_khach
02/28/2019,414344,nghin nguoi,Van_chuyen_Hanh_khach
01/31/2019,413794,nghin nguoi,Van_chuyen_Hanh_khach
12/31/2018,408737,nghin nguoi,Van_chuyen_Hanh_khach
11/30/2018,402894,nghin nguoi,Van_chuyen_Hanh_khach
10/31/2018,398609,nghin nguoi,Van_chuyen_Hanh_khach
09/30/2018,394179,nghin nguoi,Van_chuyen_Hanh_khach
08/31/2018,397968,nghin nguoi,Van_chuyen_Hanh_khach
07/31/2018,393993,nghin nguoi,Van_chuyen_Hanh_khach
06/30/2018,390709,nghin nguoi,Van_chuyen_Hanh_khach
05/31/2018,387909,nghin nguoi,Van_chuyen_Hanh_khach
04/30/2018,382429,nghin nguoi,Van_chuyen_Hanh_khach
03/31/2018,442281,nghin nguoi,Van_chuyen_Hanh_khach
02/28/2018,304039,nghin nguoi,Van_chuyen_Hanh_khach
01/31/2018,376480,nghin nguoi,Van_chuyen_Hanh_khach
12/31/2017,369271,nghin nguoi,Van_chuyen_Hanh_khach
11/30/2017,364357,nghin nguoi,Van_chuyen_Hanh_khach
10/31/2017,354076,nghin nguoi,Van_chuyen_Hanh_khach
09/30/2017,350173,nghin nguoi,Van_chuyen_Hanh_khach
08/31/2017,347942,nghin nguoi,Van_chuyen_Hanh_khach
07/31/2017,345337,nghin nguoi,Van_chuyen_Hanh_khach
06/30/2017,342226,nghin nguoi,Van_chuyen_Hanh_khach
05/31/2017,338985,nghin nguoi,Van_chuyen_Hanh_khach
04/30/2017,335544,nghin nguoi,Van_chuyen_Hanh_khach
03/31/2017,333070,nghin nguoi,Van_chuyen_Hanh_khach
02/28/2017,325176,nghin nguoi,Van_chuyen_Hanh_khach
01/31/2017,327715,nghin nguoi,Van_chuyen_Hanh_khach
12/31/2016,316967,nghin nguoi,Van_chuyen_Hanh_khach
11/30/2016,307586,nghin nguoi,Van_chuyen_Hanh_khach
10/31/2016,302957,nghin nguoi,Van_chuyen_Hanh_khach
09/30/2016,299693,nghin nguoi,Van_chuyen_Hanh_khach
08/31/2016,302289,nghin nguoi,Van_chuyen_Hanh_khach
07/31/2016,297559,nghin nguoi,Van_chuyen_Hanh_khach
06/30/2016,305254,nghin nguoi,Van_chuyen_Hanh_khach
05/31/2016,303006,nghin nguoi,Van_chuyen_Hanh_khach
04/30/2016,315177,nghin nguoi,Van_chuyen_Hanh_khach
03/31/2016,302504,nghin nguoi,Van_chuyen_Hanh_khach
02/29/2016,294406,nghin nguoi,Van_chuyen_Hanh_khach
01/31/2016,299854,nghin nguoi,Van_chuyen_Hanh_khach
12/31/2015,290255,nghin nguoi,Van_chuyen_Hanh_khach
11/30/2015,292436,nghin nguoi,Van_chuyen_Hanh_khach
10/31/2015,273305,nghin nguoi,Van_chuyen_Hanh_khach
09/30/2015,283249,nghin nguoi,Van_chuyen_Hanh_khach
08/31/2015,271765,nghin nguoi,Van_chuyen_Hanh_khach
07/31/2015,279681,nghin nguoi,Van_chuyen_Hanh_khach
06/30/2015,271676,nghin nguoi,Van_chuyen_Hanh_khach
05/31/2015,268123,nghin nguoi,Van_chuyen_Hanh_khach
04/30/2015,275422,nghin nguoi,Van_chuyen_Hanh_khach
03/31/2015,266719,nghin nguoi,Van_chuyen_Hanh_khach
02/28/2015,260888,nghin nguoi,Van_chuyen_Hanh_khach
01/31/2015,267747,nghin nguoi,Van_chuyen_Hanh_khach
12/31/2014,272037,nghin nguoi,Van_chuyen_Hanh_khach
