date,price,unit,title
05/31/2023,5.58,%,Tang_truong
02/28/2023,3.63,%,Tang_truong
11/30/2022,8.5,%,Tang_truong
08/31/2022,18.19,%,Tang_truong
05/31/2022,9.36,%,Tang_truong
02/28/2022,8.99,%,Tang_truong
11/30/2021,39.49,%,Tang_truong
08/31/2021,18.29,%,Tang_truong
05/31/2021,40.07,%,Tang_truong
02/28/2021,39.82,%,Tang_truong
11/30/2020,7.44,%,Tang_truong
08/31/2020,7.45,%,Tang_truong
05/31/2020,3.77,%,Tang_truong
02/29/2020,2.5,%,Tang_truong
11/30/2019,10.36,%,Tang_truong
08/31/2019,10.16,%,Tang_truong
05/31/2019,10.59,%,Tang_truong
02/28/2019,9.09,%,Tang_truong
11/30/2018,12.56,%,Tang_truong
08/31/2018,11.75,%,Tang_truong
05/31/2018,11.07,%,Tang_truong
02/28/2018,10.85,%,Tang_truong
11/30/2017,10.79,%,Tang_truong
08/31/2017,14.2,%,Tang_truong
05/31/2017,10.01,%,Tang_truong
02/28/2017,7.7,%,Tang_truong
11/30/2016,7.99,%,Tang_truong
08/31/2016,7.4,%,Tang_truong
05/31/2016,12.92,%,Tang_truong
02/29/2016,11.9,%,Tang_truong
11/30/2015,17.31,%,Tang_truong
08/31/2015,9.81,%,Tang_truong
05/31/2015,9.65,%,Tang_truong
02/28/2015,9.68,%,Tang_truong
11/30/2014,14.21,%,Tang_truong
08/31/2014,,%,Tang_truong
05/31/2014,,%,Tang_truong
02/28/2014,,%,Tang_truong
11/30/2013,,%,Tang_truong
