name,link,dataid
Ure,https://vnindex.net/gia-hang-ngay/urea,119.0
Quặng sắt,https://vnindex.net/gia-hang-ngay/iron-ore,194.0
Ngô,https://vnindex.net/gia-hang-ngay/corn,200.0
Lúa mì,https://vnindex.net/gia-hang-ngay/wheat,201.0
Vàng,https://vnindex.net/gia-hang-ngay/gold,216.0
Dầu WTI,https://vnindex.net/gia-hang-ngay/crude-oil,222.0
Dầu Brent,https://vnindex.net/gia-hang-ngay/brent,223.0
Ethanol,https://vnindex.net/gia-hang-ngay/ethanol,229.0
Dầu Urals,https://vnindex.net/gia-hang-ngay/urals-oil,233.0
Thép xây dựng,https://vnindex.net/gia-hang-ngay/steel-1,234.0
Thép HRC,https://vnindex.net/gia-hang-ngay/hrc-steel,238.0
Đậu tương,https://vnindex.net/gia-hang-ngay/soybeans,239.0
Sữa,https://vnindex.net/gia-hang-ngay/milk,242.0
Cà phê,https://vnindex.net/gia-hang-ngay/coffee,245.0
Đường,https://vnindex.net/gia-hang-ngay/sugar,247.0
Cotton,https://vnindex.net/gia-hang-ngay/cotton,248.0
Gỗ,https://vnindex.net/gia-hang-ngay/wool,251.0
Gạo,https://vnindex.net/gia-hang-ngay/rice,253.0
Dầu Diesel,https://vnindex.net/gia-hang-ngay/diesel,108.0
Than cốc,https://vnindex.net/gia-hang-ngay/coke,110.0
Than đá,https://vnindex.net/gia-hang-ngay/thermal-coal,111.0
LPG,https://vnindex.net/gia-hang-ngay/lpg,112.0
Nhựa đường,https://vnindex.net/gia-hang-ngay/asphalt,116.0
DAP,https://vnindex.net/gia-hang-ngay/dap,121.0
Axit sunfuric,https://vnindex.net/gia-hang-ngay/sulfuric-acid,124.0
Phốt pho vàng,https://vnindex.net/gia-hang-ngay/phosphorus-yellow,148.0
Nhựa HDPE,https://vnindex.net/gia-hang-ngay/hdpe,155.0
Nhựa PVC,https://vnindex.net/gia-hang-ngay/pvc,157.0
